n,mode,status,success,direct_verified,placed,decision_steps,forced_steps,score_calls
8,greedy_L,FAILED_TO_FIND,False,False,5,5,0,22
8,greedy_LG,FAILED_TO_FIND,False,False,6,4,0,20
8,lookahead_L_2,FAILED_TO_FIND,False,False,6,6,0,160
8,lookahead_LG_2,SOLUTION_FOUND,True,True,8,4,4,156
8,lookahead_L_3,FAILED_TO_FIND,False,False,7,7,0,485
8,lookahead_LG_3,SOLUTION_FOUND,True,True,8,4,4,459
9,greedy_L,FAILED_TO_FIND,False,False,7,7,0,29
9,greedy_LG,FAILED_TO_FIND,False,False,8,5,0,26
9,lookahead_L_2,FAILED_TO_FIND,False,False,7,7,0,233
9,lookahead_LG_2,SOLUTION_FOUND,True,True,9,4,5,213
9,lookahead_L_3,SOLUTION_FOUND,True,True,9,9,0,759
9,lookahead_LG_3,SOLUTION_FOUND,True,True,9,4,5,702
10,greedy_L,FAILED_TO_FIND,False,False,7,7,0,33
10,greedy_LG,SOLUTION_FOUND,True,True,10,6,4,33
10,lookahead_L_2,FAILED_TO_FIND,False,False,7,7,0,299
10,lookahead_LG_2,FAILED_TO_FIND,False,False,9,6,0,283
10,lookahead_L_3,FAILED_TO_FIND,False,False,7,7,0,1006
10,lookahead_LG_3,SOLUTION_FOUND,True,True,10,7,3,922
11,greedy_L,FAILED_TO_FIND,False,False,9,9,0,41
11,greedy_LG,FAILED_TO_FIND,False,False,10,6,1,38
11,lookahead_L_2,FAILED_TO_FIND,False,False,8,8,0,393
11,lookahead_LG_2,SOLUTION_FOUND,True,True,11,7,4,391
11,lookahead_L_3,SOLUTION_FOUND,True,True,11,11,0,1401
11,lookahead_LG_3,FAILED_TO_FIND,False,False,9,6,2,1241
12,greedy_L,FAILED_TO_FIND,False,False,9,9,0,45
12,greedy_LG,FAILED_TO_FIND,False,False,9,8,1,44
12,lookahead_L_2,FAILED_TO_FIND,False,False,10,10,0,466
12,lookahead_LG_2,FAILED_TO_FIND,False,False,10,8,0,451
12,lookahead_L_3,FAILED_TO_FIND,False,False,8,8,0,1824
12,lookahead_LG_3,FAILED_TO_FIND,False,False,11,7,3,1812
13,greedy_L,FAILED_TO_FIND,False,False,10,10,0,51
13,greedy_LG,FAILED_TO_FIND,False,False,9,8,1,51
13,lookahead_L_2,FAILED_TO_FIND,False,False,9,9,0,577
13,lookahead_LG_2,FAILED_TO_FIND,False,False,10,8,1,570
13,lookahead_L_3,FAILED_TO_FIND,False,False,9,9,0,2282
13,lookahead_LG_3,FAILED_TO_FIND,False,False,10,7,2,2275
14,greedy_L,FAILED_TO_FIND,False,False,10,10,0,58
14,greedy_LG,FAILED_TO_FIND,False,False,12,8,1,56
14,lookahead_L_2,FAILED_TO_FIND,False,False,10,10,0,671
14,lookahead_LG_2,SOLUTION_FOUND,True,True,14,10,4,667
14,lookahead_L_3,FAILED_TO_FIND,False,False,10,10,0,2490
14,lookahead_LG_3,SOLUTION_FOUND,True,True,14,9,5,2444
15,greedy_L,FAILED_TO_FIND,False,False,12,12,0,71
15,greedy_LG,FAILED_TO_FIND,False,False,13,10,0,68
15,lookahead_L_2,FAILED_TO_FIND,False,False,10,10,0,793
15,lookahead_LG_2,SOLUTION_FOUND,True,True,15,8,7,788
15,lookahead_L_3,FAILED_TO_FIND,False,False,9,9,0,2856
15,lookahead_LG_3,SOLUTION_FOUND,True,True,15,11,4,2999
16,greedy_L,FAILED_TO_FIND,False,False,11,11,0,76
16,greedy_LG,FAILED_TO_FIND,False,False,13,10,1,75
16,lookahead_L_2,FAILED_TO_FIND,False,False,10,10,0,940
16,lookahead_LG_2,FAILED_TO_FIND,False,False,14,9,3,940
16,lookahead_L_3,FAILED_TO_FIND,False,False,9,9,0,3397
16,lookahead_LG_3,SOLUTION_FOUND,True,True,16,9,7,3538
