formula_seed,mode,status,success,steps,assigned_count,decision_steps,forced_steps,score_calls,dpll_nodes
42,dpll_control,SAT_FOUND,True,6,14,6,0,0,6
42,greedy_L,SAT_FOUND,True,12,14,12,0,203,
42,greedy_LG,SAT_FOUND,True,2,14,2,12,54,
42,lookahead_LG_1,SAT_FOUND,True,2,14,2,12,54,
42,lookahead_LG_2,SAT_FOUND,True,4,14,4,10,2036,
42,lookahead_LG_3,SAT_FOUND,True,4,14,4,10,9228,
42,lookahead_L_1,SAT_FOUND,True,12,14,12,0,203,
42,lookahead_L_2,SAT_FOUND,True,14,14,14,0,4654,
42,lookahead_L_3,FAILED_TO_FIND,False,12,14,12,0,20764,
42,random,FAILED_TO_FIND,False,14,14,14,0,0,
43,dpll_control,SAT_FOUND,True,7,14,7,1,0,7
43,greedy_L,SAT_FOUND,True,11,14,11,0,197,
43,greedy_LG,SAT_FOUND,True,3,14,3,8,61,
43,lookahead_LG_1,SAT_FOUND,True,3,14,3,8,61,
43,lookahead_LG_2,SAT_FOUND,True,5,14,5,9,1912,
43,lookahead_LG_3,SAT_FOUND,True,5,14,5,9,8885,
43,lookahead_L_1,SAT_FOUND,True,11,14,11,0,197,
43,lookahead_L_2,SAT_FOUND,True,12,14,12,0,4582,
43,lookahead_L_3,SAT_FOUND,True,11,14,11,0,19701,
43,random,FAILED_TO_FIND,False,14,14,14,0,0,
44,dpll_control,SAT_FOUND,True,9,14,9,2,0,9
44,greedy_L,SAT_FOUND,True,12,14,12,0,203,
44,greedy_LG,SAT_FOUND,True,2,14,2,11,54,
44,lookahead_LG_1,SAT_FOUND,True,2,14,2,11,54,
44,lookahead_LG_2,SAT_FOUND,True,3,14,3,11,1838,
44,lookahead_LG_3,SAT_FOUND,True,3,14,3,11,8382,
44,lookahead_L_1,SAT_FOUND,True,12,14,12,0,203,
44,lookahead_L_2,SAT_FOUND,True,14,14,14,0,4654,
44,lookahead_L_3,SAT_FOUND,True,14,14,14,0,20634,
44,random,FAILED_TO_FIND,False,14,14,14,0,0,
45,dpll_control,SAT_FOUND,True,8,14,8,2,0,8
45,greedy_L,FAILED_TO_FIND,False,14,14,14,0,210,
45,greedy_LG,SAT_FOUND,True,2,14,2,10,54,
45,lookahead_LG_1,SAT_FOUND,True,2,14,2,10,54,
45,lookahead_LG_2,SAT_FOUND,True,7,14,7,6,2906,
45,lookahead_LG_3,SAT_FOUND,True,8,14,8,6,12493,
45,lookahead_L_1,FAILED_TO_FIND,False,14,14,14,0,210,
45,lookahead_L_2,FAILED_TO_FIND,False,13,14,13,0,4672,
45,lookahead_L_3,FAILED_TO_FIND,False,13,14,13,0,20784,
45,random,FAILED_TO_FIND,False,14,14,14,0,0,
46,dpll_control,SAT_FOUND,True,3,14,3,0,0,3
46,greedy_L,SAT_FOUND,True,7,14,7,0,153,
46,greedy_LG,SAT_FOUND,True,2,14,2,12,54,
46,lookahead_LG_1,SAT_FOUND,True,2,14,2,12,54,
46,lookahead_LG_2,SAT_FOUND,True,6,14,6,8,2616,
46,lookahead_LG_3,SAT_FOUND,True,6,14,6,8,11702,
46,lookahead_L_1,SAT_FOUND,True,7,14,7,0,153,
46,lookahead_L_2,SAT_FOUND,True,11,14,11,0,4471,
46,lookahead_L_3,SAT_FOUND,True,11,14,11,0,19987,
46,random,FAILED_TO_FIND,False,14,14,14,0,0,
47,dpll_control,UNSAT_PROVED,False,7,0,7,0,0,7
47,greedy_L,FAILED_TO_FIND,False,14,14,14,0,210,
47,greedy_LG,FAILED_TO_FIND,False,10,14,7,3,130,
47,lookahead_LG_1,FAILED_TO_FIND,False,10,14,7,3,130,
47,lookahead_LG_2,FAILED_TO_FIND,False,12,14,6,6,2120,
47,lookahead_LG_3,FAILED_TO_FIND,False,12,14,10,2,12218,
47,lookahead_L_1,FAILED_TO_FIND,False,14,14,14,0,210,
47,lookahead_L_2,FAILED_TO_FIND,False,13,14,13,0,4672,
47,lookahead_L_3,FAILED_TO_FIND,False,12,14,12,0,20764,
47,random,FAILED_TO_FIND,False,14,14,14,0,0,
48,dpll_control,SAT_FOUND,True,4,14,4,1,0,4
48,greedy_L,SAT_FOUND,True,11,14,11,0,197,
48,greedy_LG,SAT_FOUND,True,3,14,3,10,72,
48,lookahead_LG_1,SAT_FOUND,True,3,14,3,10,72,
48,lookahead_LG_2,SAT_FOUND,True,4,14,4,10,2146,
48,lookahead_LG_3,SAT_FOUND,True,4,14,4,10,7504,
48,lookahead_L_1,SAT_FOUND,True,11,14,11,0,197,
48,lookahead_L_2,SAT_FOUND,True,11,14,11,0,4500,
48,lookahead_L_3,SAT_FOUND,True,11,14,11,0,20333,
48,random,FAILED_TO_FIND,False,14,14,14,0,0,
49,dpll_control,SAT_FOUND,True,6,14,6,0,0,6
49,greedy_L,SAT_FOUND,True,11,14,11,0,197,
49,greedy_LG,SAT_FOUND,True,3,14,3,11,72,
49,lookahead_LG_1,SAT_FOUND,True,3,14,3,11,72,
49,lookahead_LG_2,SAT_FOUND,True,7,14,7,7,2748,
49,lookahead_LG_3,SAT_FOUND,True,7,14,7,7,12696,
49,lookahead_L_1,SAT_FOUND,True,11,14,11,0,197,
49,lookahead_L_2,SAT_FOUND,True,13,14,13,0,4637,
49,lookahead_L_3,SAT_FOUND,True,13,14,13,0,20693,
49,random,FAILED_TO_FIND,False,14,14,14,0,0,
50,dpll_control,SAT_FOUND,True,6,14,6,1,0,6
50,greedy_L,FAILED_TO_FIND,False,14,14,14,0,210,
50,greedy_LG,SAT_FOUND,True,2,14,2,11,54,
50,lookahead_LG_1,SAT_FOUND,True,2,14,2,11,54,
50,lookahead_LG_2,SAT_FOUND,True,3,14,3,11,1756,
50,lookahead_LG_3,SAT_FOUND,True,2,14,2,11,6908,
50,lookahead_L_1,FAILED_TO_FIND,False,14,14,14,0,210,
50,lookahead_L_2,FAILED_TO_FIND,False,14,14,14,0,4674,
50,lookahead_L_3,FAILED_TO_FIND,False,14,14,14,0,20786,
50,random,FAILED_TO_FIND,False,14,14,14,0,0,
51,dpll_control,SAT_FOUND,True,3,14,3,0,0,3
51,greedy_L,SAT_FOUND,True,14,14,14,0,209,
51,greedy_LG,SAT_FOUND,True,2,14,2,12,54,
51,lookahead_LG_1,SAT_FOUND,True,2,14,2,12,54,
51,lookahead_LG_2,SAT_FOUND,True,6,14,6,8,2780,
51,lookahead_LG_3,SAT_FOUND,True,6,14,6,8,12494,
