graph_seed,mode,status,success,steps,colored_count,direct_verified,decision_steps,forced_steps,score_calls,edge_count
42,greedy_L,SOLUTION_FOUND,True,14,14,True,14,0,278,17
42,greedy_LG,SOLUTION_FOUND,True,7,14,True,7,7,137,17
42,lookahead_L_2,FAILED_TO_FIND,False,13,13,False,13,0,7406,17
42,lookahead_LG_2,SOLUTION_FOUND,True,8,14,True,8,6,4963,17
42,lookahead_L_3,FAILED_TO_FIND,False,13,13,False,13,0,31088,17
42,lookahead_LG_3,SOLUTION_FOUND,True,8,14,True,8,6,21122,17
43,greedy_L,FAILED_TO_FIND,False,13,13,False,13,0,274,21
43,greedy_LG,SOLUTION_FOUND,True,4,14,True,4,10,122,21
43,lookahead_L_2,FAILED_TO_FIND,False,12,12,False,12,0,7469,21
43,lookahead_LG_2,SOLUTION_FOUND,True,4,14,True,4,10,3084,21
43,lookahead_L_3,FAILED_TO_FIND,False,11,11,False,11,0,32059,21
43,lookahead_LG_3,SOLUTION_FOUND,True,4,14,True,4,10,13191,21
44,greedy_L,SOLUTION_FOUND,True,14,14,True,14,0,277,23
44,greedy_LG,SOLUTION_FOUND,True,5,14,True,5,9,119,23
44,lookahead_L_2,SOLUTION_FOUND,True,14,14,True,14,0,7212,23
44,lookahead_LG_2,SOLUTION_FOUND,True,5,14,True,5,9,4367,23
44,lookahead_L_3,SOLUTION_FOUND,True,14,14,True,14,0,30738,23
44,lookahead_LG_3,SOLUTION_FOUND,True,6,14,True,6,8,20392,23
45,greedy_L,SOLUTION_FOUND,True,14,14,True,14,0,269,23
45,greedy_LG,SOLUTION_FOUND,True,4,14,True,4,10,107,23
45,lookahead_L_2,SOLUTION_FOUND,True,14,14,True,14,0,6891,23
45,lookahead_LG_2,SOLUTION_FOUND,True,6,14,True,6,8,4108,23
45,lookahead_L_3,SOLUTION_FOUND,True,14,14,True,14,0,29023,23
45,lookahead_LG_3,SOLUTION_FOUND,True,6,14,True,6,8,19141,23
46,greedy_L,SOLUTION_FOUND,True,14,14,True,14,0,261,25
46,greedy_LG,SOLUTION_FOUND,True,4,14,True,4,10,91,25
46,lookahead_L_2,SOLUTION_FOUND,True,14,14,True,14,0,6630,25
46,lookahead_LG_2,SOLUTION_FOUND,True,6,14,True,6,8,4579,25
46,lookahead_L_3,SOLUTION_FOUND,True,14,14,True,14,0,28612,25
46,lookahead_LG_3,SOLUTION_FOUND,True,7,14,True,7,7,20007,25
47,greedy_L,SOLUTION_FOUND,True,14,14,True,14,0,302,10
47,greedy_LG,SOLUTION_FOUND,True,10,14,True,10,4,232,10
47,lookahead_L_2,SOLUTION_FOUND,True,14,14,True,14,0,8750,10
47,lookahead_LG_2,SOLUTION_FOUND,True,13,14,True,13,1,6876,10
47,lookahead_L_3,SOLUTION_FOUND,True,14,14,True,14,0,38220,10
47,lookahead_LG_3,SOLUTION_FOUND,True,13,14,True,13,1,29811,10
48,greedy_L,SOLUTION_FOUND,True,14,14,True,14,0,270,21
48,greedy_LG,SOLUTION_FOUND,True,6,14,True,6,8,136,21
48,lookahead_L_2,SOLUTION_FOUND,True,14,14,True,14,0,7004,21
48,lookahead_LG_2,SOLUTION_FOUND,True,7,14,True,7,7,5104,21
48,lookahead_L_3,SOLUTION_FOUND,True,14,14,True,14,0,29385,21
48,lookahead_LG_3,SOLUTION_FOUND,True,8,14,True,8,6,22986,21
49,greedy_L,SOLUTION_FOUND,True,14,14,True,14,0,289,14
49,greedy_LG,SOLUTION_FOUND,True,9,14,True,9,5,179,14
49,lookahead_L_2,SOLUTION_FOUND,True,14,14,True,14,0,8117,14
49,lookahead_LG_2,SOLUTION_FOUND,True,10,14,True,10,4,6832,14
49,lookahead_L_3,SOLUTION_FOUND,True,14,14,True,14,0,35732,14
49,lookahead_LG_3,SOLUTION_FOUND,True,11,14,True,11,3,26790,14
50,greedy_L,SOLUTION_FOUND,True,14,14,True,14,0,296,14
50,greedy_LG,SOLUTION_FOUND,True,8,14,True,8,6,198,14
50,lookahead_L_2,SOLUTION_FOUND,True,14,14,True,14,0,8248,14
50,lookahead_LG_2,SOLUTION_FOUND,True,9,14,True,9,5,4930,14
50,lookahead_L_3,SOLUTION_FOUND,True,14,14,True,14,0,36289,14
50,lookahead_LG_3,SOLUTION_FOUND,True,11,14,True,11,3,23264,14
51,greedy_L,SOLUTION_FOUND,True,14,14,True,14,0,298,12
51,greedy_LG,SOLUTION_FOUND,True,8,14,True,8,6,214,12
51,lookahead_L_2,SOLUTION_FOUND,True,14,14,True,14,0,8226,12
