graph_seed,mode,status,success,steps,colored_count,direct_verified,decision_steps,forced_steps,score_calls,edge_count
42,greedy_L,SOLUTION_FOUND,True,18,18,True,18,0,449,28
42,greedy_LG,SOLUTION_FOUND,True,6,18,True,6,12,235,28
42,lookahead_L_2,FAILED_TO_FIND,False,16,16,False,16,0,14944,28
42,lookahead_LG_2,SOLUTION_FOUND,True,6,18,True,6,12,6756,28
42,lookahead_L_3,SOLUTION_FOUND,True,18,18,True,18,0,65797,28
42,lookahead_LG_3,SOLUTION_FOUND,True,12,18,True,12,6,37392,28
43,greedy_L,FAILED_TO_FIND,False,17,17,False,17,0,425,34
43,greedy_LG,SOLUTION_FOUND,True,4,18,True,4,14,146,34
43,lookahead_L_2,FAILED_TO_FIND,False,16,16,False,16,0,14282,34
43,lookahead_LG_2,SOLUTION_FOUND,True,7,18,True,7,11,6441,34
43,lookahead_L_3,SOLUTION_FOUND,True,18,18,True,18,0,62688,34
43,lookahead_LG_3,SOLUTION_FOUND,True,7,18,True,7,11,27671,34
44,greedy_L,FAILED_TO_FIND,False,15,15,False,15,0,409,33
44,greedy_LG,SOLUTION_FOUND,True,4,18,True,4,14,128,33
44,lookahead_L_2,FAILED_TO_FIND,False,14,14,False,14,0,13752,33
44,lookahead_LG_2,SOLUTION_FOUND,True,6,18,True,6,12,8403,33
44,lookahead_L_3,SOLUTION_FOUND,True,18,18,True,18,0,65053,33
44,lookahead_LG_3,SOLUTION_FOUND,True,6,18,True,6,12,31842,33
45,greedy_L,FAILED_TO_FIND,False,17,17,False,17,0,424,29
45,greedy_LG,SOLUTION_FOUND,True,5,18,True,5,13,193,29
45,lookahead_L_2,SOLUTION_FOUND,True,18,18,True,18,0,14821,29
45,lookahead_LG_2,SOLUTION_FOUND,True,6,18,True,6,12,5966,29
45,lookahead_L_3,SOLUTION_FOUND,True,18,18,True,18,0,64013,29
45,lookahead_LG_3,SOLUTION_FOUND,True,6,18,True,6,12,24898,29
46,greedy_L,FAILED_TO_FIND,False,17,17,False,17,0,413,36
46,greedy_LG,SOLUTION_FOUND,True,3,18,True,3,15,133,36
46,lookahead_L_2,FAILED_TO_FIND,False,16,16,False,16,0,13361,36
46,lookahead_LG_2,SOLUTION_FOUND,True,5,18,True,5,13,5977,36
46,lookahead_L_3,FAILED_TO_FIND,False,11,11,False,11,0,55650,36
