task,graph_seed,mode,status,success,direct_verified,selected_count,decision_steps,forced_steps,score_calls,edge_count,planted
independent_set,42,greedy_L,SOLUTION_FOUND,True,True,6,6,0,40,51,0 2 3 7 8 16
independent_set,42,greedy_LG,SOLUTION_FOUND,True,True,6,3,3,35,51,0 2 3 7 8 16
independent_set,42,lookahead_L_2,SOLUTION_FOUND,True,True,6,6,0,725,51,0 2 3 7 8 16
independent_set,42,lookahead_LG_2,SOLUTION_FOUND,True,True,6,5,1,714,51,0 2 3 7 8 16
independent_set,42,lookahead_L_3,SOLUTION_FOUND,True,True,6,6,0,2527,51,0 2 3 7 8 16
independent_set,42,lookahead_LG_3,SOLUTION_FOUND,True,True,6,5,1,2527,51,0 2 3 7 8 16
independent_set,43,greedy_L,SOLUTION_FOUND,True,True,6,6,0,39,50,1 4 9 10 11 14
independent_set,43,greedy_LG,SOLUTION_FOUND,True,True,6,2,4,30,50,1 4 9 10 11 14
independent_set,43,lookahead_L_2,SOLUTION_FOUND,True,True,6,6,0,699,50,1 4 9 10 11 14
independent_set,43,lookahead_LG_2,SOLUTION_FOUND,True,True,6,6,0,699,50,1 4 9 10 11 14
independent_set,43,lookahead_L_3,SOLUTION_FOUND,True,True,6,6,0,2271,50,1 4 9 10 11 14
independent_set,43,lookahead_LG_3,SOLUTION_FOUND,True,True,6,6,0,2271,50,1 4 9 10 11 14
independent_set,44,greedy_L,SOLUTION_FOUND,True,True,6,6,0,41,51,3 5 6 13 16 17
independent_set,44,greedy_LG,SOLUTION_FOUND,True,True,6,3,3,36,51,3 5 6 13 16 17
independent_set,44,lookahead_L_2,SOLUTION_FOUND,True,True,6,6,0,616,51,3 5 6 13 16 17
independent_set,44,lookahead_LG_2,SOLUTION_FOUND,True,True,6,4,2,606,51,3 5 6 13 16 17
independent_set,44,lookahead_L_3,SOLUTION_FOUND,True,True,6,6,0,2088,51,3 5 6 13 16 17
independent_set,44,lookahead_LG_3,SOLUTION_FOUND,True,True,6,6,0,2074,51,3 5 6 13 16 17
independent_set,45,greedy_L,SOLUTION_FOUND,True,True,6,6,0,46,39,2 4 8 13 15 19
independent_set,45,greedy_LG,SOLUTION_FOUND,True,True,6,4,2,44,39,2 4 8 13 15 19
independent_set,45,lookahead_L_2,SOLUTION_FOUND,True,True,6,6,0,707,39,2 4 8 13 15 19
independent_set,45,lookahead_LG_2,SOLUTION_FOUND,True,True,6,5,1,705,39,2 4 8 13 15 19
independent_set,45,lookahead_L_3,SOLUTION_FOUND,True,True,6,6,0,2559,39,2 4 8 13 15 19
independent_set,45,lookahead_LG_3,SOLUTION_FOUND,True,True,6,6,0,2557,39,2 4 8 13 15 19
independent_set,46,greedy_L,SOLUTION_FOUND,True,True,6,6,0,50,33,1 2 4 7 9 12
independent_set,46,greedy_LG,SOLUTION_FOUND,True,True,6,6,0,50,33,1 2 4 7 9 12
independent_set,46,lookahead_L_2,SOLUTION_FOUND,True,True,6,6,0,1036,33,1 2 4 7 9 12
independent_set,46,lookahead_LG_2,SOLUTION_FOUND,True,True,6,6,0,1036,33,1 2 4 7 9 12
independent_set,46,lookahead_L_3,SOLUTION_FOUND,True,True,6,6,0,3491,33,1 2 4 7 9 12
independent_set,46,lookahead_LG_3,SOLUTION_FOUND,True,True,6,6,0,3491,33,1 2 4 7 9 12
independent_set,47,greedy_L,SOLUTION_FOUND,True,True,6,6,0,42,44,2 4 10 11 13 14
independent_set,47,greedy_LG,SOLUTION_FOUND,True,True,6,3,3,37,44,2 4 10 11 13 14
independent_set,47,lookahead_L_2,SOLUTION_FOUND,True,True,6,6,0,845,44,2 4 10 11 13 14
independent_set,47,lookahead_LG_2,SOLUTION_FOUND,True,True,6,6,0,845,44,2 4 10 11 13 14
independent_set,47,lookahead_L_3,SOLUTION_FOUND,True,True,6,6,0,2931,44,2 4 10 11 13 14
