task,graph_seed,mode,status,success,direct_verified,selected_count,decision_steps,forced_steps,score_calls,edge_count,planted
independent_set,42,greedy_L,SOLUTION_FOUND,True,True,5,5,0,32,30,0 3 4 11 15
independent_set,42,greedy_LG,SOLUTION_FOUND,True,True,5,5,0,32,30,0 3 4 11 15
independent_set,42,lookahead_L_2,SOLUTION_FOUND,True,True,5,5,0,433,30,0 3 4 11 15
independent_set,42,lookahead_LG_2,SOLUTION_FOUND,True,True,5,3,2,429,30,0 3 4 11 15
independent_set,42,lookahead_L_3,SOLUTION_FOUND,True,True,5,5,0,1398,30,0 3 4 11 15
independent_set,42,lookahead_LG_3,SOLUTION_FOUND,True,True,5,3,2,1394,30,0 3 4 11 15
independent_set,43,greedy_L,SOLUTION_FOUND,True,True,5,5,0,29,29,1 2 4 11 12
independent_set,43,greedy_LG,SOLUTION_FOUND,True,True,5,2,3,24,29,1 2 4 11 12
independent_set,43,lookahead_L_2,SOLUTION_FOUND,True,True,5,5,0,504,29,1 2 4 11 12
independent_set,43,lookahead_LG_2,SOLUTION_FOUND,True,True,5,5,0,504,29,1 2 4 11 12
independent_set,43,lookahead_L_3,SOLUTION_FOUND,True,True,5,5,0,1629,29,1 2 4 11 12
independent_set,43,lookahead_LG_3,SOLUTION_FOUND,True,True,5,5,0,1629,29,1 2 4 11 12
independent_set,44,greedy_L,SOLUTION_FOUND,True,True,5,5,0,29,33,1 8 11 13 14
independent_set,44,greedy_LG,SOLUTION_FOUND,True,True,5,3,2,27,33,1 8 11 13 14
independent_set,44,lookahead_L_2,SOLUTION_FOUND,True,True,5,5,0,374,33,1 8 11 13 14
independent_set,44,lookahead_LG_2,SOLUTION_FOUND,True,True,5,5,0,374,33,1 8 11 13 14
independent_set,44,lookahead_L_3,SOLUTION_FOUND,True,True,5,5,0,1531,33,1 8 11 13 14
independent_set,44,lookahead_LG_3,SOLUTION_FOUND,True,True,5,5,0,1531,33,1 8 11 13 14
independent_set,45,greedy_L,SOLUTION_FOUND,True,True,5,5,0,32,27,1 4 6 7 8
independent_set,45,greedy_LG,SOLUTION_FOUND,True,True,5,3,2,30,27,1 4 6 7 8
independent_set,45,lookahead_L_2,SOLUTION_FOUND,True,True,5,5,0,460,27,1 4 6 7 8
independent_set,45,lookahead_LG_2,SOLUTION_FOUND,True,True,5,4,1,460,27,1 4 6 7 8
independent_set,45,lookahead_L_3,SOLUTION_FOUND,True,True,5,5,0,1590,27,1 4 6 7 8
independent_set,45,lookahead_LG_3,SOLUTION_FOUND,True,True,5,4,1,1590,27,1 4 6 7 8
independent_set,46,greedy_L,SOLUTION_FOUND,True,True,5,5,0,29,36,0 2 6 9 12
independent_set,46,greedy_LG,SOLUTION_FOUND,True,True,5,3,2,27,36,0 2 6 9 12
independent_set,46,lookahead_L_2,SOLUTION_FOUND,True,True,5,5,0,398,36,0 2 6 9 12
independent_set,46,lookahead_LG_2,SOLUTION_FOUND,True,True,5,4,1,398,36,0 2 6 9 12
independent_set,46,lookahead_L_3,SOLUTION_FOUND,True,True,5,5,0,1419,36,0 2 6 9 12
independent_set,46,lookahead_LG_3,SOLUTION_FOUND,True,True,5,5,0,1419,36,0 2 6 9 12
independent_set,47,greedy_L,SOLUTION_FOUND,True,True,5,5,0,33,24,1 6 7 8 11
independent_set,47,greedy_LG,SOLUTION_FOUND,True,True,5,4,1,33,24,1 6 7 8 11
independent_set,47,lookahead_L_2,SOLUTION_FOUND,True,True,5,5,0,469,24,1 6 7 8 11
independent_set,47,lookahead_LG_2,SOLUTION_FOUND,True,True,5,5,0,469,24,1 6 7 8 11
independent_set,47,lookahead_L_3,SOLUTION_FOUND,True,True,5,5,0,1799,24,1 6 7 8 11
independent_set,47,lookahead_LG_3,SOLUTION_FOUND,True,True,5,5,0,1799,24,1 6 7 8 11
independent_set,48,greedy_L,SOLUTION_FOUND,True,True,5,5,0,31,32,2 8 10 11 13
independent_set,48,greedy_LG,SOLUTION_FOUND,True,True,5,3,2,29,32,2 8 10 11 13
independent_set,48,lookahead_L_2,SOLUTION_FOUND,True,True,5,5,0,383,32,2 8 10 11 13
independent_set,48,lookahead_LG_2,SOLUTION_FOUND,True,True,5,4,1,383,32,2 8 10 11 13
independent_set,48,lookahead_L_3,SOLUTION_FOUND,True,True,5,5,0,1239,32,2 8 10 11 13
independent_set,48,lookahead_LG_3,SOLUTION_FOUND,True,True,5,4,1,1239,32,2 8 10 11 13
independent_set,49,greedy_L,SOLUTION_FOUND,True,True,5,5,0,37,23,1 2 5 6 14
independent_set,49,greedy_LG,SOLUTION_FOUND,True,True,5,5,0,37,23,1 2 5 6 14
independent_set,49,lookahead_L_2,SOLUTION_FOUND,True,True,5,5,0,545,23,1 2 5 6 14
independent_set,49,lookahead_LG_2,SOLUTION_FOUND,True,True,5,5,0,545,23,1 2 5 6 14
independent_set,49,lookahead_L_3,SOLUTION_FOUND,True,True,5,5,0,2078,23,1 2 5 6 14
independent_set,49,lookahead_LG_3,SOLUTION_FOUND,True,True,5,5,0,2078,23,1 2 5 6 14
independent_set,50,greedy_L,SOLUTION_FOUND,True,True,5,5,0,33,27,4 5 10 13 15
independent_set,50,greedy_LG,SOLUTION_FOUND,True,True,5,5,0,33,27,4 5 10 13 15
independent_set,50,lookahead_L_2,SOLUTION_FOUND,True,True,5,5,0,556,27,4 5 10 13 15
independent_set,50,lookahead_LG_2,SOLUTION_FOUND,True,True,5,5,0,556,27,4 5 10 13 15
independent_set,50,lookahead_L_3,SOLUTION_FOUND,True,True,5,5,0,1640,27,4 5 10 13 15
independent_set,50,lookahead_LG_3,SOLUTION_FOUND,True,True,5,5,0,1640,27,4 5 10 13 15
independent_set,51,greedy_L,SOLUTION_FOUND,True,True,5,5,0,33,18,2 7 8 13 14
independent_set,51,greedy_LG,SOLUTION_FOUND,True,True,5,5,0,33,18,2 7 8 13 14
independent_set,51,lookahead_L_2,SOLUTION_FOUND,True,True,5,5,0,487,18,2 7 8 13 14
independent_set,51,lookahead_LG_2,SOLUTION_FOUND,True,True,5,5,0,487,18,2 7 8 13 14
independent_set,51,lookahead_L_3,SOLUTION_FOUND,True,True,5,5,0,1681,18,2 7 8 13 14
independent_set,51,lookahead_LG_3,SOLUTION_FOUND,True,True,5,5,0,1681,18,2 7 8 13 14
independent_set,52,greedy_L,SOLUTION_FOUND,True,True,5,5,0,28,38,0 7 8 11 15
