formula_seed,mode,status,success,steps,assigned_count,decision_steps,forced_steps,score_calls,dpll_nodes
42,dpll_control,UNSAT_PROVED,False,13,0,13,0,0,13
42,greedy_L,FAILED_TO_FIND,False,15,16,15,0,270,
42,greedy_LG,FAILED_TO_FIND,False,13,16,8,5,140,
42,lookahead_LG_3,FAILED_TO_FIND,False,12,16,6,6,11364,
42,lookahead_L_3,FAILED_TO_FIND,False,12,16,12,0,30076,
43,dpll_control,SAT_FOUND,True,5,16,5,1,0,5
43,greedy_L,FAILED_TO_FIND,False,16,16,16,0,272,
43,greedy_LG,SAT_FOUND,True,2,16,2,13,62,
43,lookahead_LG_3,SAT_FOUND,True,4,16,4,11,14276,
43,lookahead_L_3,FAILED_TO_FIND,False,14,16,14,0,30570,
44,dpll_control,SAT_FOUND,True,20,16,20,1,0,20
44,greedy_L,SAT_FOUND,True,11,16,11,0,241,
44,greedy_LG,FAILED_TO_FIND,False,13,16,8,5,140,
44,lookahead_LG_3,SAT_FOUND,True,7,16,7,7,19534,
44,lookahead_L_3,SAT_FOUND,True,16,16,16,0,30409,
45,dpll_control,SAT_FOUND,True,5,16,5,0,0,5
45,greedy_L,SAT_FOUND,True,13,16,13,0,259,
45,greedy_LG,SAT_FOUND,True,3,16,3,13,84,
45,lookahead_LG_3,SAT_FOUND,True,5,16,5,11,16016,
45,lookahead_L_3,SAT_FOUND,True,16,16,16,0,29919,
46,dpll_control,SAT_FOUND,True,10,16,10,1,0,10
46,greedy_L,FAILED_TO_FIND,False,16,16,16,0,272,
46,greedy_LG,SAT_FOUND,True,3,16,3,12,88,
46,lookahead_LG_3,SAT_FOUND,True,8,16,8,8,19282,
46,lookahead_L_3,FAILED_TO_FIND,False,14,16,14,0,30570,
47,dpll_control,UNSAT_PROVED,False,15,0,15,0,0,15
47,greedy_L,FAILED_TO_FIND,False,16,16,16,0,272,
47,greedy_LG,FAILED_TO_FIND,False,14,16,8,6,134,
47,lookahead_LG_3,FAILED_TO_FIND,False,14,16,8,6,14060,
47,lookahead_L_3,FAILED_TO_FIND,False,14,16,14,0,30570,
48,dpll_control,SAT_FOUND,True,10,16,10,4,0,10
48,greedy_L,SAT_FOUND,True,10,16,10,0,229,
48,greedy_LG,SAT_FOUND,True,4,16,4,11,104,
48,lookahead_LG_3,SAT_FOUND,True,3,16,3,12,13516,
48,lookahead_L_3,SAT_FOUND,True,14,16,14,0,30184,
49,dpll_control,SAT_FOUND,True,8,16,8,1,0,8
49,greedy_L,FAILED_TO_FIND,False,16,16,16,0,272,
49,greedy_LG,SAT_FOUND,True,3,16,3,13,68,
49,lookahead_LG_3,SAT_FOUND,True,8,16,8,8,22303,
49,lookahead_L_3,SAT_FOUND,True,16,16,16,0,29332,
50,dpll_control,SAT_FOUND,True,8,16,8,1,0,8
50,greedy_L,SAT_FOUND,True,14,16,14,0,265,
50,greedy_LG,SAT_FOUND,True,3,16,3,13,78,
50,lookahead_LG_3,SAT_FOUND,True,4,16,4,8,15634,
50,lookahead_L_3,SAT_FOUND,True,15,16,15,0,30427,
51,dpll_control,UNSAT_PROVED,False,9,0,9,0,0,9
51,greedy_L,FAILED_TO_FIND,False,16,16,16,0,272,
51,greedy_LG,FAILED_TO_FIND,False,12,16,7,5,132,
51,lookahead_LG_3,FAILED_TO_FIND,False,10,16,6,4,14484,
51,lookahead_L_3,FAILED_TO_FIND,False,14,16,14,0,30570,
52,dpll_control,SAT_FOUND,True,6,16,6,2,0,6
52,greedy_L,SAT_FOUND,True,13,16,13,0,259,
52,greedy_LG,SAT_FOUND,True,3,16,3,13,84,
52,lookahead_LG_3,SAT_FOUND,True,2,16,2,14,9198,
52,lookahead_L_3,SAT_FOUND,True,16,16,16,0,30506,
53,dpll_control,UNSAT_PROVED,False,13,0,13,0,0,13
53,greedy_L,FAILED_TO_FIND,False,16,16,16,0,272,
53,greedy_LG,FAILED_TO_FIND,False,14,16,7,7,112,
53,lookahead_LG_3,FAILED_TO_FIND,False,14,16,10,4,14150,
53,lookahead_L_3,FAILED_TO_FIND,False,14,16,14,0,30570,
54,dpll_control,SAT_FOUND,True,7,16,7,2,0,7
54,greedy_L,SAT_FOUND,True,11,16,11,0,241,
54,greedy_LG,SAT_FOUND,True,3,16,3,13,78,
54,lookahead_LG_3,SAT_FOUND,True,6,16,6,10,13134,
54,lookahead_L_3,SAT_FOUND,True,16,16,16,0,30443,
55,dpll_control,SAT_FOUND,True,5,16,5,0,0,5
55,greedy_L,FAILED_TO_FIND,False,16,16,16,0,272,
55,greedy_LG,SAT_FOUND,True,3,16,3,12,76,
55,lookahead_LG_3,SAT_FOUND,True,6,16,6,9,18924,
55,lookahead_L_3,FAILED_TO_FIND,False,14,16,14,0,30570,
56,dpll_control,SAT_FOUND,True,7,16,7,2,0,7
56,greedy_L,SAT_FOUND,True,15,16,15,0,269,
56,greedy_LG,SAT_FOUND,True,3,16,3,13,84,
56,lookahead_LG_3,SAT_FOUND,True,9,16,9,7,18960,
56,lookahead_L_3,SAT_FOUND,True,15,16,15,0,29194,
57,dpll_control,SAT_FOUND,True,4,16,4,1,0,4
57,greedy_L,FAILED_TO_FIND,False,16,16,16,0,272,
57,greedy_LG,FAILED_TO_FIND,False,13,16,11,2,206,
57,lookahead_LG_3,SAT_FOUND,True,8,16,8,7,21523,
57,lookahead_L_3,FAILED_TO_FIND,False,14,16,14,0,30570,
58,dpll_control,SAT_FOUND,True,7,16,7,2,0,7
58,greedy_L,SAT_FOUND,True,13,16,13,0,259,
58,greedy_LG,SAT_FOUND,True,3,16,3,13,72,
58,lookahead_LG_3,SAT_FOUND,True,5,16,5,11,13892,
58,lookahead_L_3,SAT_FOUND,True,16,16,16,0,30497,
59,dpll_control,SAT_FOUND,True,8,16,8,0,0,8
