case,seed,planted_path,greedy_L_status,greedy_L_success,greedy_L_decision_steps,greedy_L_forced_steps,greedy_L_score_calls,greedy_LG_status,greedy_LG_success,greedy_LG_decision_steps,greedy_LG_forced_steps,greedy_LG_score_calls,lookahead_L_2_status,lookahead_L_2_success,lookahead_L_2_decision_steps,lookahead_L_2_forced_steps,lookahead_L_2_score_calls,lookahead_LG_2_status,lookahead_LG_2_success,lookahead_LG_2_decision_steps,lookahead_LG_2_forced_steps,lookahead_LG_2_score_calls,lookahead_L_3_status,lookahead_L_3_success,lookahead_L_3_decision_steps,lookahead_L_3_forced_steps,lookahead_L_3_score_calls,lookahead_LG_3_status,lookahead_LG_3_success,lookahead_LG_3_decision_steps,lookahead_LG_3_forced_steps,lookahead_LG_3_score_calls
0,43,9 8 13 0 6 3 14 10 15 5 7 2 12 11 4 1,SAT_FOUND,True,16,0,53,SAT_FOUND,True,15,1,53,FAILED_TO_FIND,False,12,0,373,FAILED_TO_FIND,False,8,5,346,FAILED_TO_FIND,False,13,0,1289,SAT_FOUND,True,8,8,1215
1,44,5 10 15 7 9 12 0 4 3 6 2 1 11 14 8 13,SAT_FOUND,True,16,0,48,SAT_FOUND,True,12,4,45,FAILED_TO_FIND,False,12,0,319,FAILED_TO_FIND,False,8,0,281,SAT_FOUND,True,16,0,1026,SAT_FOUND,True,9,7,1009
2,45,14 13 10 2 9 15 3 11 0 5 12 1 4 7 6 8,SAT_FOUND,True,16,0,48,SAT_FOUND,True,14,2,47,FAILED_TO_FIND,False,13,0,314,FAILED_TO_FIND,False,8,1,291,FAILED_TO_FIND,False,13,0,1037,FAILED_TO_FIND,False,10,2,1020
3,46,1 4 10 5 11 14 7 13 15 8 3 12 9 0 6 2,SAT_FOUND,True,16,0,39,SAT_FOUND,True,8,8,32,FAILED_TO_FIND,False,12,0,214,FAILED_TO_FIND,False,3,2,141,FAILED_TO_FIND,False,13,0,602,FAILED_TO_FIND,False,5,3,458
4,47,14 10 2 15 0 12 3 13 4 5 9 7 8 6 1 11,SAT_FOUND,True,16,0,46,SAT_FOUND,True,10,6,41,FAILED_TO_FIND,False,14,0,300,FAILED_TO_FIND,False,9,0,288,FAILED_TO_FIND,False,11,0,919,SAT_FOUND,True,10,6,878
5,48,5 15 14 9 0 7 1 6 3 12 4 13 11 8 2 10,SAT_FOUND,True,16,0,52,SAT_FOUND,True,15,1,52,FAILED_TO_FIND,False,12,0,360,FAILED_TO_FIND,False,8,1,319,FAILED_TO_FIND,False,12,0,1256,FAILED_TO_FIND,False,12,1,1152
6,49,4 7 3 12 15 11 13 9 0 10 8 14 1 6 5 2,SAT_FOUND,True,16,0,44,SAT_FOUND,True,12,4,41,FAILED_TO_FIND,False,13,0,270,FAILED_TO_FIND,False,9,1,248,FAILED_TO_FIND,False,11,0,776,FAILED_TO_FIND,False,11,3,802
7,50,8 6 11 0 9 2 14 1 12 7 3 10 5 4 13 15,SAT_FOUND,True,16,0,49,SAT_FOUND,True,13,3,47,FAILED_TO_FIND,False,10,0,321,FAILED_TO_FIND,False,6,1,260,FAILED_TO_FIND,False,13,0,1099,SAT_FOUND,True,11,5,1125
8,51,0 1 11 5 15 9 6 4 12 10 3 2 14 8 13 7,SAT_FOUND,True,16,0,44,SAT_FOUND,True,12,4,41,FAILED_TO_FIND,False,11,0,264,FAILED_TO_FIND,False,8,2,235,FAILED_TO_FIND,False,10,0,775,FAILED_TO_FIND,False,9,5,753
9,52,10 12 4 13 9 3 1 2 14 6 5 7 15 11 0 8,SAT_FOUND,True,16,0,54,SAT_FOUND,True,15,1,54,FAILED_TO_FIND,False,11,0,396,FAILED_TO_FIND,False,9,0,371,FAILED_TO_FIND,False,15,0,1308,FAILED_TO_FIND,False,8,3,1252
10,53,4 9 3 2 1 10 15 0 12 5 13 14 11 8 7 6,SAT_FOUND,True,16,0,46,SAT_FOUND,True,12,4,43,FAILED_TO_FIND,False,14,0,290,FAILED_TO_FIND,False,8,3,263,FAILED_TO_FIND,False,12,0,910,FAILED_TO_FIND,False,11,3,924
11,54,5 0 9 1 13 12 2 10 3 6 11 14 15 8 7 4,SAT_FOUND,True,16,0,49,SAT_FOUND,True,14,2,48,FAILED_TO_FIND,False,11,0,328,FAILED_TO_FIND,False,9,1,313,FAILED_TO_FIND,False,14,0,1095,SAT_FOUND,True,9,7,1058
12,55,0 6 7 8 14 5 9 10 12 13 1 4 11 15 3 2,SAT_FOUND,True,16,0,49,SAT_FOUND,True,14,2,48,FAILED_TO_FIND,False,13,0,340,FAILED_TO_FIND,False,9,1,316,FAILED_TO_FIND,False,12,0,1061,FAILED_TO_FIND,False,9,2,1021
13,56,5 14 13 9 15 11 2 1 3 6 12 4 8 10 7 0,SAT_FOUND,True,16,0,55,SAT_FOUND,True,15,1,55,FAILED_TO_FIND,False,11,0,394,FAILED_TO_FIND,False,9,2,377,FAILED_TO_FIND,False,14,0,1381,SAT_FOUND,True,11,5,1359
14,57,15 4 6 11 12 10 2 7 14 8 3 0 13 9 5 1,SAT_FOUND,True,16,0,49,SAT_FOUND,True,12,4,46,FAILED_TO_FIND,False,12,0,328,FAILED_TO_FIND,False,9,0,317,FAILED_TO_FIND,False,14,0,1165,FAILED_TO_FIND,False,9,4,1034
15,58,12 1 4 9 5 8 2 15 7 13 0 14 10 11 3 6,SAT_FOUND,True,16,0,55,SAT_FOUND,True,14,2,54,FAILED_TO_FIND,False,12,0,414,FAILED_TO_FIND,False,9,1,396,FAILED_TO_FIND,False,13,0,1430,SAT_FOUND,True,9,7,1351
16,59,12 14 13 9 5 3 6 8 11 4 2 0 15 10 1 7,SAT_FOUND,True,16,0,52,SAT_FOUND,True,15,1,52,FAILED_TO_FIND,False,13,0,385,FAILED_TO_FIND,False,9,2,362,FAILED_TO_FIND,False,14,0,1253,SAT_FOUND,True,9,7,1154
