n,mode,status,success,direct_verified,placed,decision_steps,forced_steps,score_calls
8,lookahead_LG_1,FAILED_TO_FIND,False,False,6,4,0,20
8,lookahead_LG_2,SOLUTION_FOUND,True,True,8,4,4,129
8,lookahead_LG_3,SOLUTION_FOUND,True,True,8,4,4,267
8,lookahead_LG_4,SOLUTION_FOUND,True,True,8,4,4,436
9,lookahead_LG_1,FAILED_TO_FIND,False,False,8,5,0,26
9,lookahead_LG_2,SOLUTION_FOUND,True,True,9,4,5,177
9,lookahead_LG_3,SOLUTION_FOUND,True,True,9,4,5,382
9,lookahead_LG_4,SOLUTION_FOUND,True,True,9,5,4,675
10,lookahead_LG_1,SOLUTION_FOUND,True,True,10,6,4,33
10,lookahead_LG_2,FAILED_TO_FIND,False,False,9,6,0,235
10,lookahead_LG_3,SOLUTION_FOUND,True,True,10,7,3,495
10,lookahead_LG_4,SOLUTION_FOUND,True,True,10,8,2,969
11,lookahead_LG_1,FAILED_TO_FIND,False,False,10,6,1,38
11,lookahead_LG_2,SOLUTION_FOUND,True,True,11,7,4,326
11,lookahead_LG_3,FAILED_TO_FIND,False,False,9,6,2,656
11,lookahead_LG_4,SOLUTION_FOUND,True,True,11,5,6,1244
12,lookahead_LG_1,FAILED_TO_FIND,False,False,9,8,1,44
12,lookahead_LG_2,FAILED_TO_FIND,False,False,10,8,0,382
12,lookahead_LG_3,SOLUTION_FOUND,True,True,12,7,5,906
12,lookahead_LG_4,SOLUTION_FOUND,True,True,12,7,5,1674
