size,depth,case,seed,edge_count,mode,success,status,decision_steps,forced_steps,score_calls,colored
18,1,0,18142,60,greedy_LG,True,SOLUTION_FOUND,2,16,100,18
18,1,1,18143,59,greedy_LG,True,SOLUTION_FOUND,2,16,101,18
18,1,2,18144,60,greedy_LG,True,SOLUTION_FOUND,2,16,102,18
18,1,3,18145,53,greedy_LG,True,SOLUTION_FOUND,2,16,103,18
18,1,4,18146,56,greedy_LG,True,SOLUTION_FOUND,2,16,102,18
18,1,5,18147,65,greedy_LG,True,SOLUTION_FOUND,2,16,100,18
18,1,6,18148,58,greedy_LG,True,SOLUTION_FOUND,2,16,101,18
18,1,7,18149,66,greedy_LG,True,SOLUTION_FOUND,2,16,100,18
18,1,8,18150,72,greedy_LG,True,SOLUTION_FOUND,2,16,100,18
18,1,9,18151,53,greedy_LG,True,SOLUTION_FOUND,2,16,103,18
18,2,0,18242,55,lookahead_LG_2,True,SOLUTION_FOUND,2,16,4174,18
18,2,1,18243,47,lookahead_LG_2,True,SOLUTION_FOUND,4,14,5003,18
18,2,2,18244,60,lookahead_LG_2,True,SOLUTION_FOUND,4,14,4546,18
18,2,3,18245,63,lookahead_LG_2,True,SOLUTION_FOUND,2,16,3760,18
18,2,4,18246,63,lookahead_LG_2,True,SOLUTION_FOUND,2,16,3894,18
18,2,5,18247,68,lookahead_LG_2,True,SOLUTION_FOUND,2,16,3846,18
18,2,6,18248,61,lookahead_LG_2,True,SOLUTION_FOUND,4,14,5200,18
18,2,7,18249,59,lookahead_LG_2,True,SOLUTION_FOUND,2,16,4000,18
18,2,8,18250,54,lookahead_LG_2,True,SOLUTION_FOUND,3,15,4980,18
18,2,9,18251,61,lookahead_LG_2,True,SOLUTION_FOUND,2,16,4174,18
18,3,0,18342,54,lookahead_LG_3,True,SOLUTION_FOUND,4,14,21194,18
18,3,1,18343,52,lookahead_LG_3,True,SOLUTION_FOUND,3,15,17837,18
18,3,2,18344,61,lookahead_LG_3,True,SOLUTION_FOUND,2,16,13703,18
18,3,3,18345,49,lookahead_LG_3,True,SOLUTION_FOUND,3,15,14819,18
18,3,4,18346,67,lookahead_LG_3,True,SOLUTION_FOUND,2,16,13646,18
18,3,5,18347,62,lookahead_LG_3,True,SOLUTION_FOUND,5,13,22408,18
18,3,6,18348,64,lookahead_LG_3,True,SOLUTION_FOUND,3,15,14062,18
18,3,7,18349,63,lookahead_LG_3,True,SOLUTION_FOUND,4,14,19400,18
18,3,8,18350,67,lookahead_LG_3,True,SOLUTION_FOUND,4,14,20024,18
18,3,9,18351,59,lookahead_LG_3,True,SOLUTION_FOUND,2,16,13874,18
18,4,0,18442,56,lookahead_LG_4,True,SOLUTION_FOUND,4,14,52235,18
18,4,1,18443,62,lookahead_LG_4,True,SOLUTION_FOUND,3,15,38491,18
18,4,2,18444,55,lookahead_LG_4,True,SOLUTION_FOUND,3,15,37492,18
18,4,3,18445,66,lookahead_LG_4,True,SOLUTION_FOUND,2,16,34634,18
18,4,4,18446,62,lookahead_LG_4,True,SOLUTION_FOUND,3,15,52582,18
18,4,5,18447,56,lookahead_LG_4,True,SOLUTION_FOUND,4,14,48692,18
18,4,6,18448,51,lookahead_LG_4,True,SOLUTION_FOUND,2,16,39626,18
18,4,7,18449,56,lookahead_LG_4,True,SOLUTION_FOUND,4,14,57666,18
18,4,8,18450,70,lookahead_LG_4,True,SOLUTION_FOUND,4,14,53238,18
18,4,9,18451,50,lookahead_LG_4,True,SOLUTION_FOUND,5,13,55487,18
22,1,0,22142,93,greedy_LG,True,SOLUTION_FOUND,2,20,124,22
22,1,1,22143,73,greedy_LG,True,SOLUTION_FOUND,3,19,127,22
22,1,2,22144,93,greedy_LG,True,SOLUTION_FOUND,2,20,125,22
22,1,3,22145,82,greedy_LG,True,SOLUTION_FOUND,2,20,125,22
22,1,4,22146,86,greedy_LG,True,SOLUTION_FOUND,2,20,124,22
22,1,5,22147,91,greedy_LG,True,SOLUTION_FOUND,2,20,123,22
22,1,6,22148,95,greedy_LG,True,SOLUTION_FOUND,2,20,125,22
22,1,7,22149,90,greedy_LG,True,SOLUTION_FOUND,2,20,125,22
22,1,8,22150,89,greedy_LG,True,SOLUTION_FOUND,2,20,125,22
22,1,9,22151,92,greedy_LG,True,SOLUTION_FOUND,2,20,124,22
22,2,0,22242,89,lookahead_LG_2,True,SOLUTION_FOUND,2,20,6220,22
22,2,1,22243,95,lookahead_LG_2,True,SOLUTION_FOUND,2,20,5724,22
22,2,2,22244,85,lookahead_LG_2,True,SOLUTION_FOUND,3,19,7396,22
22,2,3,22245,81,lookahead_LG_2,True,SOLUTION_FOUND,3,19,7652,22
22,2,4,22246,84,lookahead_LG_2,True,SOLUTION_FOUND,2,20,5902,22
22,2,5,22247,89,lookahead_LG_2,True,SOLUTION_FOUND,2,20,6212,22
22,2,6,22248,96,lookahead_LG_2,True,SOLUTION_FOUND,2,20,5882,22
22,2,7,22249,84,lookahead_LG_2,True,SOLUTION_FOUND,2,20,6086,22
22,2,8,22250,85,lookahead_LG_2,True,SOLUTION_FOUND,2,20,6068,22
22,2,9,22251,88,lookahead_LG_2,True,SOLUTION_FOUND,2,20,6224,22
22,3,0,22342,91,lookahead_LG_3,True,SOLUTION_FOUND,3,19,27633,22
22,3,1,22343,83,lookahead_LG_3,True,SOLUTION_FOUND,3,19,28000,22
22,3,2,22344,81,lookahead_LG_3,True,SOLUTION_FOUND,2,20,21455,22
22,3,3,22345,101,lookahead_LG_3,True,SOLUTION_FOUND,2,20,20256,22
22,3,4,22346,80,lookahead_LG_3,True,SOLUTION_FOUND,5,17,31234,22
22,3,5,22347,77,lookahead_LG_3,True,SOLUTION_FOUND,3,19,22560,22
22,3,6,22348,80,lookahead_LG_3,True,SOLUTION_FOUND,2,20,21827,22
22,3,7,22349,87,lookahead_LG_3,True,SOLUTION_FOUND,4,18,27280,22
22,3,8,22350,83,lookahead_LG_3,True,SOLUTION_FOUND,3,19,20553,22
22,3,9,22351,84,lookahead_LG_3,True,SOLUTION_FOUND,3,19,21272,22
22,4,0,22442,85,lookahead_LG_4,True,SOLUTION_FOUND,3,19,61194,22
22,4,1,22443,99,lookahead_LG_4,True,SOLUTION_FOUND,2,20,56536,22
22,4,2,22444,105,lookahead_LG_4,True,SOLUTION_FOUND,2,20,52553,22
22,4,3,22445,92,lookahead_LG_4,True,SOLUTION_FOUND,3,19,71504,22
22,4,4,22446,94,lookahead_LG_4,True,SOLUTION_FOUND,2,20,54766,22
22,4,5,22447,94,lookahead_LG_4,True,SOLUTION_FOUND,2,20,59647,22
22,4,6,22448,88,lookahead_LG_4,True,SOLUTION_FOUND,3,19,70809,22
22,4,7,22449,79,lookahead_LG_4,True,SOLUTION_FOUND,2,20,61247,22
22,4,8,22450,97,lookahead_LG_4,True,SOLUTION_FOUND,3,19,69163,22
22,4,9,22451,79,lookahead_LG_4,True,SOLUTION_FOUND,3,19,62152,22
26,1,0,26142,118,greedy_LG,True,SOLUTION_FOUND,2,24,149,26
26,1,1,26143,124,greedy_LG,True,SOLUTION_FOUND,2,24,148,26
26,1,2,26144,119,greedy_LG,True,SOLUTION_FOUND,2,24,147,26
26,1,3,26145,122,greedy_LG,True,SOLUTION_FOUND,2,24,148,26
26,1,4,26146,123,greedy_LG,True,SOLUTION_FOUND,2,24,148,26
26,1,5,26147,116,greedy_LG,True,SOLUTION_FOUND,2,24,148,26
26,1,6,26148,126,greedy_LG,True,SOLUTION_FOUND,2,24,148,26
26,1,7,26149,136,greedy_LG,True,SOLUTION_FOUND,2,24,148,26
26,1,8,26150,126,greedy_LG,True,SOLUTION_FOUND,2,24,148,26
26,1,9,26151,122,greedy_LG,True,SOLUTION_FOUND,2,24,149,26
26,2,0,26242,133,lookahead_LG_2,True,SOLUTION_FOUND,2,24,8230,26
26,2,1,26243,115,lookahead_LG_2,True,SOLUTION_FOUND,2,24,8608,26
26,2,2,26244,142,lookahead_LG_2,True,SOLUTION_FOUND,4,22,12176,26
26,2,3,26245,136,lookahead_LG_2,True,SOLUTION_FOUND,2,24,8398,26
26,2,4,26246,119,lookahead_LG_2,True,SOLUTION_FOUND,2,24,8352,26
26,2,5,26247,133,lookahead_LG_2,True,SOLUTION_FOUND,2,24,8252,26
26,2,6,26248,110,lookahead_LG_2,True,SOLUTION_FOUND,2,24,8738,26
26,2,7,26249,121,lookahead_LG_2,True,SOLUTION_FOUND,4,22,13192,26
26,2,8,26250,122,lookahead_LG_2,True,SOLUTION_FOUND,2,24,8630,26
26,2,9,26251,129,lookahead_LG_2,True,SOLUTION_FOUND,2,24,7972,26
26,3,0,26342,121,lookahead_LG_3,True,SOLUTION_FOUND,3,23,28957,26
26,3,1,26343,124,lookahead_LG_3,True,SOLUTION_FOUND,2,24,28019,26
26,3,2,26344,126,lookahead_LG_3,True,SOLUTION_FOUND,3,23,36805,26
26,3,3,26345,118,lookahead_LG_3,True,SOLUTION_FOUND,2,24,30273,26
26,3,4,26346,122,lookahead_LG_3,True,SOLUTION_FOUND,2,24,29969,26
26,3,5,26347,128,lookahead_LG_3,True,SOLUTION_FOUND,2,24,28744,26
26,3,6,26348,125,lookahead_LG_3,True,SOLUTION_FOUND,2,24,31034,26
26,3,7,26349,122,lookahead_LG_3,True,SOLUTION_FOUND,3,23,29724,26
26,3,8,26350,126,lookahead_LG_3,True,SOLUTION_FOUND,2,24,30216,26
26,3,9,26351,125,lookahead_LG_3,True,SOLUTION_FOUND,2,24,29963,26
26,4,0,26442,122,lookahead_LG_4,True,SOLUTION_FOUND,3,23,112501,26
26,4,1,26443,125,lookahead_LG_4,True,SOLUTION_FOUND,3,23,109592,26
26,4,2,26444,131,lookahead_LG_4,True,SOLUTION_FOUND,4,22,131392,26
26,4,3,26445,134,lookahead_LG_4,True,SOLUTION_FOUND,2,24,73543,26
26,4,4,26446,133,lookahead_LG_4,True,SOLUTION_FOUND,2,24,81210,26
26,4,5,26447,123,lookahead_LG_4,True,SOLUTION_FOUND,2,24,81487,26
26,4,6,26448,119,lookahead_LG_4,True,SOLUTION_FOUND,3,23,105805,26
26,4,7,26449,124,lookahead_LG_4,True,SOLUTION_FOUND,2,24,84573,26
26,4,8,26450,124,lookahead_LG_4,True,SOLUTION_FOUND,2,24,82687,26
26,4,9,26451,116,lookahead_LG_4,True,SOLUTION_FOUND,2,24,80884,26
30,1,0,30142,170,greedy_LG,True,SOLUTION_FOUND,2,28,169,30
30,1,1,30143,164,greedy_LG,True,SOLUTION_FOUND,2,28,171,30
30,1,2,30144,165,greedy_LG,True,SOLUTION_FOUND,2,28,172,30
30,1,3,30145,162,greedy_LG,True,SOLUTION_FOUND,2,28,172,30
30,1,4,30146,173,greedy_LG,True,SOLUTION_FOUND,2,28,170,30
30,1,5,30147,171,greedy_LG,True,SOLUTION_FOUND,2,28,170,30
30,1,6,30148,153,greedy_LG,True,SOLUTION_FOUND,2,28,171,30
30,1,7,30149,176,greedy_LG,True,SOLUTION_FOUND,2,28,169,30
30,1,8,30150,168,greedy_LG,True,SOLUTION_FOUND,2,28,170,30
30,1,9,30151,152,greedy_LG,True,SOLUTION_FOUND,2,28,170,30
30,2,0,30242,173,lookahead_LG_2,True,SOLUTION_FOUND,2,28,11450,30
30,2,1,30243,164,lookahead_LG_2,True,SOLUTION_FOUND,2,28,11408,30
30,2,2,30244,156,lookahead_LG_2,True,SOLUTION_FOUND,2,28,11612,30
30,2,3,30245,166,lookahead_LG_2,True,SOLUTION_FOUND,2,28,11282,30
30,2,4,30246,155,lookahead_LG_2,True,SOLUTION_FOUND,3,27,14844,30
30,2,5,30247,183,lookahead_LG_2,True,SOLUTION_FOUND,3,27,13828,30
30,2,6,30248,161,lookahead_LG_2,True,SOLUTION_FOUND,2,28,10768,30
30,2,7,30249,169,lookahead_LG_2,True,SOLUTION_FOUND,2,28,11268,30
30,2,8,30250,158,lookahead_LG_2,True,SOLUTION_FOUND,3,27,13519,30
30,2,9,30251,180,lookahead_LG_2,True,SOLUTION_FOUND,3,27,14506,30
30,3,0,30342,165,lookahead_LG_3,True,SOLUTION_FOUND,3,27,53490,30
30,3,1,30343,164,lookahead_LG_3,True,SOLUTION_FOUND,2,28,37036,30
30,3,2,30344,160,lookahead_LG_3,True,SOLUTION_FOUND,3,27,51969,30
30,3,3,30345,164,lookahead_LG_3,True,SOLUTION_FOUND,2,28,39191,30
30,3,4,30346,162,lookahead_LG_3,True,SOLUTION_FOUND,2,28,38153,30
30,3,5,30347,158,lookahead_LG_3,True,SOLUTION_FOUND,2,28,39122,30
30,3,6,30348,188,lookahead_LG_3,True,SOLUTION_FOUND,2,28,37703,30
30,3,7,30349,157,lookahead_LG_3,True,SOLUTION_FOUND,2,28,39728,30
30,3,8,30350,161,lookahead_LG_3,True,SOLUTION_FOUND,5,25,71945,30
30,3,9,30351,167,lookahead_LG_3,True,SOLUTION_FOUND,3,27,49034,30
30,4,0,30442,152,lookahead_LG_4,True,SOLUTION_FOUND,2,28,116714,30
30,4,1,30443,163,lookahead_LG_4,True,SOLUTION_FOUND,2,28,117959,30
30,4,2,30444,166,lookahead_LG_4,True,SOLUTION_FOUND,4,26,176172,30
30,4,3,30445,148,lookahead_LG_4,True,SOLUTION_FOUND,2,28,116043,30
30,4,4,30446,184,lookahead_LG_4,True,SOLUTION_FOUND,3,27,144281,30
30,4,5,30447,157,lookahead_LG_4,True,SOLUTION_FOUND,3,27,156055,30
30,4,6,30448,158,lookahead_LG_4,True,SOLUTION_FOUND,2,28,112296,30
30,4,7,30449,154,lookahead_LG_4,True,SOLUTION_FOUND,3,27,153624,30
30,4,8,30450,166,lookahead_LG_4,True,SOLUTION_FOUND,3,27,159030,30
30,4,9,30451,170,lookahead_LG_4,True,SOLUTION_FOUND,2,28,107908,30
