formula_seed,limited_dpll_status,limited_dpll_steps,lg_status,lg_success,lg_direct_verified,lg_decision_steps,lg_forced_steps,lg_score_calls,full_dpll_status_if_candidate,full_dpll_success_if_candidate
1000,TIMEOUT,6,SAT_FOUND,True,True,4,14,24212,SAT_FOUND,True
1001,TIMEOUT,6,FAILED_TO_FIND,False,False,13,5,24308,,
1002,TIMEOUT,6,SAT_FOUND,True,True,6,14,26534,SAT_FOUND,True
1003,TIMEOUT,6,SAT_FOUND,True,True,6,14,32952,SAT_FOUND,True
1004,SAT_FOUND,5,SAT_FOUND,True,True,7,12,29438,,
1005,TIMEOUT,6,FAILED_TO_FIND,False,False,13,5,20946,,
1006,TIMEOUT,6,SAT_FOUND,True,True,6,13,28598,SAT_FOUND,True
1007,TIMEOUT,6,SAT_FOUND,True,True,5,15,28456,SAT_FOUND,True
1008,TIMEOUT,6,SAT_FOUND,True,True,3,16,19454,SAT_FOUND,True
1009,TIMEOUT,6,SAT_FOUND,True,True,4,16,22086,SAT_FOUND,True
1010,TIMEOUT,6,SAT_FOUND,True,True,9,3,42851,SAT_FOUND,True
1011,TIMEOUT,6,SAT_FOUND,True,True,8,12,30592,SAT_FOUND,True
1012,TIMEOUT,6,FAILED_TO_FIND,False,False,6,9,21550,,
1013,TIMEOUT,6,SAT_FOUND,True,True,11,9,43652,SAT_FOUND,True
1014,SAT_FOUND,4,SAT_FOUND,True,True,7,11,34074,,
1015,TIMEOUT,6,SAT_FOUND,True,True,5,13,29772,SAT_FOUND,True
1016,SAT_FOUND,5,SAT_FOUND,True,True,6,13,30024,,
1017,TIMEOUT,6,SAT_FOUND,True,True,5,14,25174,SAT_FOUND,True
1018,TIMEOUT,6,SAT_FOUND,True,True,5,14,29376,SAT_FOUND,True
1019,TIMEOUT,6,SAT_FOUND,True,True,9,10,35740,SAT_FOUND,True
1020,TIMEOUT,6,FAILED_TO_FIND,False,False,10,8,17148,,
1021,TIMEOUT,6,SAT_FOUND,True,True,3,16,19616,SAT_FOUND,True
1022,TIMEOUT,6,SAT_FOUND,True,True,5,11,28466,SAT_FOUND,True
1023,TIMEOUT,6,SAT_FOUND,True,True,4,12,24922,SAT_FOUND,True
1024,TIMEOUT,6,SAT_FOUND,True,True,3,16,19626,SAT_FOUND,True
1025,TIMEOUT,6,SAT_FOUND,True,True,3,15,20384,SAT_FOUND,True
1026,TIMEOUT,6,SAT_FOUND,True,True,4,15,22858,SAT_FOUND,True
1027,TIMEOUT,6,SAT_FOUND,True,True,3,16,20202,SAT_FOUND,True
1028,TIMEOUT,6,SAT_FOUND,True,True,6,12,28074,SAT_FOUND,True
1029,TIMEOUT,6,SAT_FOUND,True,True,8,12,36466,SAT_FOUND,True
