case_seed,mode,status,success,direct_verified,included_count,included_sum,target,decision_steps,forced_steps,score_calls,planted
42,greedy_L,SOLUTION_FOUND,True,True,4,122,122,4,0,131,0 2 6 7 8 9
42,greedy_LG,SOLUTION_FOUND,True,True,4,122,122,4,14,131,0 2 6 7 8 9
42,lookahead_L_2,FAILED_TO_FIND,False,False,4,123,122,18,0,9446,0 2 6 7 8 9
42,lookahead_LG_2,SOLUTION_FOUND,True,True,6,122,122,14,4,8518,0 2 6 7 8 9
42,lookahead_L_3,SOLUTION_FOUND,True,True,4,122,122,18,0,41669,0 2 6 7 8 9
42,lookahead_LG_3,SOLUTION_FOUND,True,True,4,122,122,16,2,38910,0 2 6 7 8 9
43,greedy_L,FAILED_TO_FIND,False,False,4,176,177,18,0,342,0 1 2 11 12 13
43,greedy_LG,FAILED_TO_FIND,False,False,4,176,177,18,0,342,0 1 2 11 12 13
43,lookahead_L_2,SOLUTION_FOUND,True,True,5,177,177,18,0,9083,0 1 2 11 12 13
43,lookahead_LG_2,SOLUTION_FOUND,True,True,5,177,177,17,1,8522,0 1 2 11 12 13
43,lookahead_L_3,SOLUTION_FOUND,True,True,5,177,177,18,0,42321,0 1 2 11 12 13
43,lookahead_LG_3,SOLUTION_FOUND,True,True,5,177,177,16,2,42214,0 1 2 11 12 13
44,greedy_L,SOLUTION_FOUND,True,True,4,123,123,4,0,131,9 10 11 12 15 16
44,greedy_LG,SOLUTION_FOUND,True,True,4,123,123,4,14,131,9 10 11 12 15 16
44,lookahead_L_2,SOLUTION_FOUND,True,True,4,123,123,18,0,9052,9 10 11 12 15 16
44,lookahead_LG_2,SOLUTION_FOUND,True,True,4,123,123,17,1,9039,9 10 11 12 15 16
44,lookahead_L_3,SOLUTION_FOUND,True,True,4,123,123,18,0,41947,9 10 11 12 15 16
44,lookahead_LG_3,SOLUTION_FOUND,True,True,4,123,123,16,2,41864,9 10 11 12 15 16
45,greedy_L,SOLUTION_FOUND,True,True,3,73,73,3,0,101,2 4 8 11 12 17
45,greedy_LG,SOLUTION_FOUND,True,True,3,73,73,3,15,101,2 4 8 11 12 17
45,lookahead_L_2,SOLUTION_FOUND,True,True,2,73,73,18,0,8931,2 4 8 11 12 17
45,lookahead_LG_2,SOLUTION_FOUND,True,True,2,73,73,17,1,8596,2 4 8 11 12 17
45,lookahead_L_3,SOLUTION_FOUND,True,True,2,73,73,18,0,41912,2 4 8 11 12 17
45,lookahead_LG_3,SOLUTION_FOUND,True,True,2,73,73,16,2,41821,2 4 8 11 12 17
46,greedy_L,FAILED_TO_FIND,False,False,5,143,142,18,0,342,1 4 9 10 11 12
46,greedy_LG,FAILED_TO_FIND,False,False,4,141,142,18,0,342,1 4 9 10 11 12
46,lookahead_L_2,SOLUTION_FOUND,True,True,5,142,142,18,0,9085,1 4 9 10 11 12
46,lookahead_LG_2,SOLUTION_FOUND,True,True,5,142,142,17,1,7804,1 4 9 10 11 12
46,lookahead_L_3,SOLUTION_FOUND,True,True,5,142,142,18,0,41429,1 4 9 10 11 12
46,lookahead_LG_3,SOLUTION_FOUND,True,True,5,142,142,16,2,38910,1 4 9 10 11 12
47,greedy_L,SOLUTION_FOUND,True,True,6,165,165,6,0,185,0 5 8 13 14 15
47,greedy_LG,SOLUTION_FOUND,True,True,6,165,165,6,12,185,0 5 8 13 14 15
47,lookahead_L_2,SOLUTION_FOUND,True,True,5,165,165,18,0,9101,0 5 8 13 14 15
47,lookahead_LG_2,SOLUTION_FOUND,True,True,5,165,165,17,1,8108,0 5 8 13 14 15
47,lookahead_L_3,SOLUTION_FOUND,True,True,5,165,165,18,0,42322,0 5 8 13 14 15
47,lookahead_LG_3,SOLUTION_FOUND,True,True,5,165,165,16,2,41909,0 5 8 13 14 15
48,greedy_L,FAILED_TO_FIND,False,False,5,212,213,18,0,342,0 3 4 6 7 17
48,greedy_LG,FAILED_TO_FIND,False,False,5,212,213,18,0,342,0 3 4 6 7 17
48,lookahead_L_2,SOLUTION_FOUND,True,True,5,213,213,18,0,9107,0 3 4 6 7 17
48,lookahead_LG_2,SOLUTION_FOUND,True,True,5,213,213,17,1,8664,0 3 4 6 7 17
48,lookahead_L_3,SOLUTION_FOUND,True,True,5,213,213,18,0,41988,0 3 4 6 7 17
48,lookahead_LG_3,SOLUTION_FOUND,True,True,5,213,213,16,2,41813,0 3 4 6 7 17
49,greedy_L,FAILED_TO_FIND,False,False,5,167,166,18,0,342,4 7 9 13 16 17
49,greedy_LG,FAILED_TO_FIND,False,False,4,164,166,18,0,342,4 7 9 13 16 17
49,lookahead_L_2,SOLUTION_FOUND,True,True,4,166,166,18,0,9028,4 7 9 13 16 17
