formula_seed,mode,status,success,steps,assigned_count,decision_steps,forced_steps,score_calls,dpll_nodes
42,dpll_control,UNSAT_PROVED,False,13,0,13,0,0,13
42,greedy_L,FAILED_TO_FIND,False,15,16,15,0,270,
42,greedy_LG,FAILED_TO_FIND,False,10,16,6,4,132,
42,lookahead_LG_1,FAILED_TO_FIND,False,10,16,6,4,132,
42,lookahead_LG_2,FAILED_TO_FIND,False,12,16,10,2,3042,
42,lookahead_LG_3,FAILED_TO_FIND,False,10,16,9,1,14136,
42,lookahead_L_1,FAILED_TO_FIND,False,15,16,15,0,270,
42,lookahead_L_2,FAILED_TO_FIND,False,14,16,14,0,6762,
42,lookahead_L_3,FAILED_TO_FIND,False,14,16,14,0,30570,
42,random,FAILED_TO_FIND,False,16,16,16,0,0,
43,dpll_control,SAT_FOUND,True,5,16,5,1,0,5
43,greedy_L,SAT_FOUND,True,13,16,13,0,259,
43,greedy_LG,SAT_FOUND,True,2,16,2,13,62,
43,lookahead_LG_1,SAT_FOUND,True,2,16,2,13,62,
43,lookahead_LG_2,SAT_FOUND,True,2,16,2,13,1854,
43,lookahead_LG_3,SAT_FOUND,True,4,16,4,11,14012,
43,lookahead_L_1,SAT_FOUND,True,13,16,13,0,259,
43,lookahead_L_2,SAT_FOUND,True,16,16,16,0,6749,
43,lookahead_L_3,SAT_FOUND,True,16,16,16,0,30442,
43,random,FAILED_TO_FIND,False,16,16,16,0,0,
44,dpll_control,SAT_FOUND,True,9,16,9,1,0,9
44,greedy_L,FAILED_TO_FIND,False,16,16,16,0,272,
44,greedy_LG,SAT_FOUND,True,3,16,3,13,80,
44,lookahead_LG_1,SAT_FOUND,True,3,16,3,13,80,
44,lookahead_LG_2,SAT_FOUND,True,5,16,5,11,3386,
44,lookahead_LG_3,SAT_FOUND,True,7,16,7,7,19346,
44,lookahead_L_1,FAILED_TO_FIND,False,16,16,16,0,272,
44,lookahead_L_2,SAT_FOUND,True,16,16,16,0,6706,
44,lookahead_L_3,SAT_FOUND,True,16,16,16,0,30409,
44,random,FAILED_TO_FIND,False,16,16,16,0,0,
45,dpll_control,SAT_FOUND,True,4,16,4,2,0,4
45,greedy_L,FAILED_TO_FIND,False,16,16,16,0,272,
45,greedy_LG,SAT_FOUND,True,3,16,3,12,84,
45,lookahead_LG_1,SAT_FOUND,True,3,16,3,12,84,
45,lookahead_LG_2,SAT_FOUND,True,6,16,6,8,3170,
45,lookahead_LG_3,SAT_FOUND,True,5,16,5,10,15956,
45,lookahead_L_1,FAILED_TO_FIND,False,16,16,16,0,272,
45,lookahead_L_2,FAILED_TO_FIND,False,15,16,15,0,6782,
45,lookahead_L_3,FAILED_TO_FIND,False,14,16,14,0,30570,
45,random,FAILED_TO_FIND,False,16,16,16,0,0,
46,dpll_control,UNSAT_PROVED,False,17,0,17,0,0,17
46,greedy_L,FAILED_TO_FIND,False,16,16,16,0,272,
46,greedy_LG,FAILED_TO_FIND,False,12,16,7,5,134,
46,lookahead_LG_1,FAILED_TO_FIND,False,12,16,7,5,134,
46,lookahead_LG_2,FAILED_TO_FIND,False,16,16,12,4,4002,
46,lookahead_LG_3,FAILED_TO_FIND,False,16,16,12,4,18036,
46,lookahead_L_1,FAILED_TO_FIND,False,16,16,16,0,272,
46,lookahead_L_2,FAILED_TO_FIND,False,15,16,15,0,6782,
46,lookahead_L_3,FAILED_TO_FIND,False,14,16,14,0,30570,
46,random,FAILED_TO_FIND,False,16,16,16,0,0,
47,dpll_control,UNSAT_PROVED,False,15,0,15,0,0,15
47,greedy_L,FAILED_TO_FIND,False,15,16,15,0,270,
47,greedy_LG,FAILED_TO_FIND,False,13,16,8,5,146,
47,lookahead_LG_1,FAILED_TO_FIND,False,13,16,8,5,146,
47,lookahead_LG_2,FAILED_TO_FIND,False,13,16,10,3,3472,
47,lookahead_LG_3,FAILED_TO_FIND,False,13,16,10,3,15050,
47,lookahead_L_1,FAILED_TO_FIND,False,15,16,15,0,270,
47,lookahead_L_2,FAILED_TO_FIND,False,14,16,14,0,6762,
47,lookahead_L_3,FAILED_TO_FIND,False,13,16,13,0,30420,
47,random,FAILED_TO_FIND,False,16,16,16,0,0,
48,dpll_control,SAT_FOUND,True,10,16,10,3,0,10
48,greedy_L,SAT_FOUND,True,11,16,11,0,241,
48,greedy_LG,SAT_FOUND,True,4,16,4,12,102,
48,lookahead_LG_1,SAT_FOUND,True,4,16,4,12,102,
48,lookahead_LG_2,SAT_FOUND,True,4,16,4,12,3554,
48,lookahead_LG_3,SAT_FOUND,True,4,16,4,12,16426,
48,lookahead_L_1,SAT_FOUND,True,11,16,11,0,241,
48,lookahead_L_2,SAT_FOUND,True,15,16,15,0,6701,
48,lookahead_L_3,SAT_FOUND,True,15,16,15,0,30391,
48,random,FAILED_TO_FIND,False,16,16,16,0,0,
49,dpll_control,SAT_FOUND,True,17,16,17,2,0,17
49,greedy_L,FAILED_TO_FIND,False,15,16,15,0,270,
49,greedy_LG,FAILED_TO_FIND,False,12,16,9,3,178,
49,lookahead_LG_1,FAILED_TO_FIND,False,12,16,9,3,178,
49,lookahead_LG_2,SAT_FOUND,True,8,16,8,6,4457,
49,lookahead_LG_3,SAT_FOUND,True,8,16,8,8,19365,
49,lookahead_L_1,FAILED_TO_FIND,False,15,16,15,0,270,
49,lookahead_L_2,FAILED_TO_FIND,False,15,16,15,0,6782,
49,lookahead_L_3,SAT_FOUND,True,16,16,16,0,29330,
49,random,FAILED_TO_FIND,False,16,16,16,0,0,
50,dpll_control,SAT_FOUND,True,6,16,6,2,0,6
50,greedy_L,SAT_FOUND,True,13,16,13,0,259,
50,greedy_LG,SAT_FOUND,True,3,16,3,13,78,
50,lookahead_LG_1,SAT_FOUND,True,3,16,3,13,78,
50,lookahead_LG_2,SAT_FOUND,True,9,16,9,7,3671,
