case,seed,oracle_sat,greedy_L_status,greedy_L_success,greedy_L_steps,greedy_L_decision_steps,greedy_L_forced_steps,greedy_L_score_calls,greedy_LG_status,greedy_LG_success,greedy_LG_steps,greedy_LG_decision_steps,greedy_LG_forced_steps,greedy_LG_score_calls,lookahead_L_2_status,lookahead_L_2_success,lookahead_L_2_steps,lookahead_L_2_decision_steps,lookahead_L_2_forced_steps,lookahead_L_2_score_calls,lookahead_LG_2_status,lookahead_LG_2_success,lookahead_LG_2_steps,lookahead_LG_2_decision_steps,lookahead_LG_2_forced_steps,lookahead_LG_2_score_calls,lookahead_L_3_status,lookahead_L_3_success,lookahead_L_3_steps,lookahead_L_3_decision_steps,lookahead_L_3_forced_steps,lookahead_L_3_score_calls,lookahead_LG_3_status,lookahead_LG_3_success,lookahead_LG_3_steps,lookahead_LG_3_decision_steps,lookahead_LG_3_forced_steps,lookahead_LG_3_score_calls
0,43,True,FAILED_TO_FIND,False,30,6,0,79,SAT_FOUND,True,1,1,5,42,FAILED_TO_FIND,False,30,7,0,1288,SAT_FOUND,True,2,2,4,517,SAT_FOUND,True,6,6,0,4550,SAT_FOUND,True,2,2,4,1395
1,44,True,FAILED_TO_FIND,False,30,6,0,77,SAT_FOUND,True,1,1,5,42,SAT_FOUND,True,6,6,0,1273,SAT_FOUND,True,1,1,5,405,SAT_FOUND,True,6,6,0,4354,SAT_FOUND,True,1,1,5,1408
2,45,True,FAILED_TO_FIND,False,30,5,0,70,SAT_FOUND,True,1,1,5,42,FAILED_TO_FIND,False,30,6,0,1097,SAT_FOUND,True,2,2,4,521,SAT_FOUND,True,6,6,0,4060,SAT_FOUND,True,2,2,4,1515
3,46,True,FAILED_TO_FIND,False,30,3,0,60,SAT_FOUND,True,1,1,5,42,SAT_FOUND,True,6,6,0,1419,SAT_FOUND,True,2,2,4,480,SAT_FOUND,True,6,6,0,4913,SAT_FOUND,True,2,2,4,1362
4,47,True,SAT_FOUND,True,6,6,0,88,SAT_FOUND,True,1,1,5,42,SAT_FOUND,True,6,6,0,1308,SAT_FOUND,True,1,1,5,418,SAT_FOUND,True,6,6,0,4942,SAT_FOUND,True,1,1,5,1393
5,48,True,FAILED_TO_FIND,False,30,6,0,77,SAT_FOUND,True,1,1,5,42,SAT_FOUND,True,6,6,0,1343,SAT_FOUND,True,1,1,5,531,SAT_FOUND,True,6,6,0,4640,SAT_FOUND,True,1,1,5,1474
6,49,True,FAILED_TO_FIND,False,30,7,0,94,SAT_FOUND,True,1,1,5,42,FAILED_TO_FIND,False,30,8,0,1361,SAT_FOUND,True,2,2,4,688,SAT_FOUND,True,6,6,0,4859,SAT_FOUND,True,2,2,4,2109
7,50,True,FAILED_TO_FIND,False,30,6,0,81,SAT_FOUND,True,1,1,5,42,SAT_FOUND,True,6,6,0,1662,SAT_FOUND,True,1,1,5,506,SAT_FOUND,True,6,6,0,5949,SAT_FOUND,True,1,1,5,1636
8,51,True,FAILED_TO_FIND,False,30,8,0,91,SAT_FOUND,True,1,1,5,42,SAT_FOUND,True,6,6,0,1427,SAT_FOUND,True,1,1,5,420,SAT_FOUND,True,6,6,0,5007,SAT_FOUND,True,1,1,5,1407
9,52,True,FAILED_TO_FIND,False,30,5,0,78,SAT_FOUND,True,1,1,5,42,FAILED_TO_FIND,False,30,6,0,996,SAT_FOUND,True,2,2,5,330,FAILED_TO_FIND,False,30,6,0,3290,SAT_FOUND,True,2,2,5,958
