formula_seed,mode,status,success,steps,assigned_count,decision_steps,forced_steps,score_calls,dpll_nodes
42,dpll_control,SAT_FOUND,True,9,20,9,3,0,9
42,greedy_L,SAT_FOUND,True,14,20,14,0,377,
42,greedy_LG,SAT_FOUND,True,3,20,3,15,106,
42,lookahead_LG_3,SAT_FOUND,True,8,20,8,7,32282,
42,lookahead_L_3,SAT_FOUND,True,19,20,19,0,58224,
43,dpll_control,SAT_FOUND,True,9,20,9,3,0,9
43,greedy_L,FAILED_TO_FIND,False,20,20,20,0,420,
43,greedy_LG,SAT_FOUND,True,3,20,3,15,82,
43,lookahead_LG_3,SAT_FOUND,True,6,20,6,14,28370,
43,lookahead_L_3,FAILED_TO_FIND,False,18,20,18,0,58494,
44,dpll_control,SAT_FOUND,True,6,20,6,0,0,6
44,greedy_L,FAILED_TO_FIND,False,20,20,20,0,420,
44,greedy_LG,FAILED_TO_FIND,False,16,20,9,7,218,
44,lookahead_LG_3,SAT_FOUND,True,3,20,3,15,19476,
44,lookahead_L_3,FAILED_TO_FIND,False,17,20,17,0,58344,
45,dpll_control,SAT_FOUND,True,8,20,8,1,0,8
45,greedy_L,FAILED_TO_FIND,False,20,20,20,0,420,
45,greedy_LG,SAT_FOUND,True,3,20,3,16,108,
45,lookahead_LG_3,SAT_FOUND,True,6,20,6,14,29146,
45,lookahead_L_3,FAILED_TO_FIND,False,20,20,20,0,58516,
46,dpll_control,SAT_FOUND,True,19,20,19,1,0,19
46,greedy_L,FAILED_TO_FIND,False,20,20,20,0,420,
46,greedy_LG,FAILED_TO_FIND,False,15,20,9,6,206,
46,lookahead_LG_3,SAT_FOUND,True,5,20,5,14,28080,
46,lookahead_L_3,FAILED_TO_FIND,False,19,20,19,0,58514,
47,dpll_control,SAT_FOUND,True,8,20,8,2,0,8
47,greedy_L,SAT_FOUND,True,17,20,17,0,407,
47,greedy_LG,SAT_FOUND,True,3,20,3,16,104,
47,lookahead_LG_3,SAT_FOUND,True,7,20,7,12,30268,
47,lookahead_L_3,FAILED_TO_FIND,False,20,20,20,0,58516,
48,dpll_control,UNSAT_PROVED,False,15,0,15,0,0,15
48,greedy_L,FAILED_TO_FIND,False,19,20,19,0,418,
48,greedy_LG,FAILED_TO_FIND,False,17,20,10,7,206,
48,lookahead_LG_3,FAILED_TO_FIND,False,14,20,9,5,26914,
48,lookahead_L_3,FAILED_TO_FIND,False,20,20,20,0,58516,
49,dpll_control,SAT_FOUND,True,4,20,4,0,0,4
49,greedy_L,FAILED_TO_FIND,False,20,20,20,0,420,
49,greedy_LG,FAILED_TO_FIND,False,15,20,8,7,188,
49,lookahead_LG_3,SAT_FOUND,True,6,20,6,13,27042,
49,lookahead_L_3,FAILED_TO_FIND,False,18,20,18,0,58494,
50,dpll_control,SAT_FOUND,True,9,20,9,5,0,9
50,greedy_L,SAT_FOUND,True,11,20,11,0,329,
50,greedy_LG,SAT_FOUND,True,3,20,3,14,104,
50,lookahead_LG_3,SAT_FOUND,True,10,20,10,10,40154,
50,lookahead_L_3,SAT_FOUND,True,20,20,20,0,58203,
51,dpll_control,SAT_FOUND,True,4,20,4,1,0,4
51,greedy_L,FAILED_TO_FIND,False,20,20,20,0,420,
51,greedy_LG,SAT_FOUND,True,2,20,2,18,78,
51,lookahead_LG_3,SAT_FOUND,True,6,20,6,14,29950,
51,lookahead_L_3,FAILED_TO_FIND,False,19,20,19,0,58514,
52,dpll_control,SAT_FOUND,True,8,20,8,0,0,8
52,greedy_L,FAILED_TO_FIND,False,19,20,19,0,418,
52,greedy_LG,SAT_FOUND,True,3,20,3,17,106,
52,lookahead_LG_3,SAT_FOUND,True,7,20,7,13,33984,
52,lookahead_L_3,FAILED_TO_FIND,False,18,20,18,0,58494,
53,dpll_control,SAT_FOUND,True,6,20,6,3,0,6
53,greedy_L,SAT_FOUND,True,17,20,17,0,407,
53,greedy_LG,FAILED_TO_FIND,False,13,20,9,4,234,
53,lookahead_LG_3,SAT_FOUND,True,4,20,4,15,24870,
53,lookahead_L_3,SAT_FOUND,True,20,20,20,0,58412,
54,dpll_control,SAT_FOUND,True,14,20,14,2,0,14
54,greedy_L,SAT_FOUND,True,15,20,15,0,389,
54,greedy_LG,SAT_FOUND,True,4,20,4,15,130,
54,lookahead_LG_3,SAT_FOUND,True,4,20,4,16,24496,
54,lookahead_L_3,SAT_FOUND,True,19,20,19,0,58277,
55,dpll_control,SAT_FOUND,True,7,20,7,1,0,7
55,greedy_L,FAILED_TO_FIND,False,19,20,19,0,418,
55,greedy_LG,FAILED_TO_FIND,False,20,20,12,8,196,
55,lookahead_LG_3,SAT_FOUND,True,6,20,6,13,30200,
55,lookahead_L_3,FAILED_TO_FIND,False,16,20,16,0,58000,
56,dpll_control,SAT_FOUND,True,8,20,8,2,0,8
56,greedy_L,FAILED_TO_FIND,False,20,20,20,0,420,
56,greedy_LG,SAT_FOUND,True,2,20,2,18,78,
56,lookahead_LG_3,SAT_FOUND,True,6,20,6,13,28264,
56,lookahead_L_3,SAT_FOUND,True,20,20,20,0,58235,
57,dpll_control,UNSAT_PROVED,False,25,0,25,0,0,25
