graph_seed,mode,status,success,direct_verified,selected_count,forbidden_count,decision_steps,forced_steps,score_calls,edge_count,planted_cover
42,greedy_L,SOLUTION_FOUND,True,True,5,0,5,0,159,26,0 2 3 8 14 17
42,greedy_LG,SOLUTION_FOUND,True,True,5,2,3,4,87,26,0 2 3 8 14 17
42,lookahead_L_2,SOLUTION_FOUND,True,True,5,13,18,0,9016,26,0 2 3 8 14 17
42,lookahead_LG_2,SOLUTION_FOUND,True,True,5,10,11,4,5472,26,0 2 3 8 14 17
42,lookahead_L_3,SOLUTION_FOUND,True,True,5,13,18,0,42130,26,0 2 3 8 14 17
42,lookahead_LG_3,SOLUTION_FOUND,True,True,5,4,5,4,18711,26,0 2 3 8 14 17
43,greedy_L,SOLUTION_FOUND,True,True,6,0,6,0,184,24,1 4 5 7 9 10
43,greedy_LG,SOLUTION_FOUND,True,True,6,2,3,5,82,24,1 4 5 7 9 10
43,lookahead_L_2,SOLUTION_FOUND,True,True,6,12,18,0,9149,24,1 4 5 7 9 10
43,lookahead_LG_2,SOLUTION_FOUND,True,True,6,9,10,5,4552,24,1 4 5 7 9 10
43,lookahead_L_3,SOLUTION_FOUND,True,True,6,12,18,0,42455,24,1 4 5 7 9 10
43,lookahead_LG_3,SOLUTION_FOUND,True,True,6,8,9,5,18616,24,1 4 5 7 9 10
44,greedy_L,SOLUTION_FOUND,True,True,6,0,6,0,184,17,2 3 6 13 15 16
44,greedy_LG,SOLUTION_FOUND,True,True,6,3,3,6,90,17,2 3 6 13 15 16
44,lookahead_L_2,SOLUTION_FOUND,True,True,6,12,18,0,9149,17,2 3 6 13 15 16
44,lookahead_LG_2,SOLUTION_FOUND,True,True,6,9,10,5,4901,17,2 3 6 13 15 16
44,lookahead_L_3,SOLUTION_FOUND,True,True,6,12,18,0,42441,17,2 3 6 13 15 16
44,lookahead_LG_3,SOLUTION_FOUND,True,True,6,10,11,5,27164,17,2 3 6 13 15 16
45,greedy_L,SOLUTION_FOUND,True,True,5,0,5,0,159,23,1 4 8 13 14 15
45,greedy_LG,SOLUTION_FOUND,True,True,5,2,2,5,64,23,1 4 8 13 14 15
45,lookahead_L_2,SOLUTION_FOUND,True,True,5,13,18,0,9016,23,1 4 8 13 14 15
45,lookahead_LG_2,SOLUTION_FOUND,True,True,5,10,11,4,5356,23,1 4 8 13 14 15
45,lookahead_L_3,SOLUTION_FOUND,True,True,5,13,18,0,42127,23,1 4 8 13 14 15
45,lookahead_LG_3,SOLUTION_FOUND,True,True,5,9,10,4,21976,23,1 4 8 13 14 15
46,greedy_L,SOLUTION_FOUND,True,True,5,0,5,0,158,14,1 2 3 9 12 14
46,greedy_LG,FAILED_TO_FIND,False,False,7,7,7,6,138,14,1 2 3 9 12 14
46,lookahead_L_2,SOLUTION_FOUND,True,True,5,13,18,0,9014,14,1 2 3 9 12 14
46,lookahead_LG_2,SOLUTION_FOUND,True,True,5,10,10,5,5000,14,1 2 3 9 12 14
46,lookahead_L_3,SOLUTION_FOUND,True,True,5,13,18,0,42088,14,1 2 3 9 12 14
46,lookahead_LG_3,SOLUTION_FOUND,True,True,5,11,12,4,30172,14,1 2 3 9 12 14
47,greedy_L,SOLUTION_FOUND,True,True,5,0,5,0,159,15,2 7 8 9 11 13
47,greedy_LG,FAILED_TO_FIND,False,False,7,11,11,6,168,15,2 7 8 9 11 13
47,lookahead_L_2,SOLUTION_FOUND,True,True,5,13,18,0,9002,15,2 7 8 9 11 13
47,lookahead_LG_2,SOLUTION_FOUND,True,True,5,10,11,4,5882,15,2 7 8 9 11 13
47,lookahead_L_3,SOLUTION_FOUND,True,True,5,13,18,0,42083,15,2 7 8 9 11 13
47,lookahead_LG_3,SOLUTION_FOUND,True,True,5,11,13,3,30797,15,2 7 8 9 11 13
48,greedy_L,FAILED_TO_FIND,False,False,6,12,18,0,342,24,4 8 10 11 14 17
48,greedy_LG,SOLUTION_FOUND,True,True,6,1,2,5,59,24,4 8 10 11 14 17
48,lookahead_L_2,FAILED_TO_FIND,False,False,6,12,18,0,9446,24,4 8 10 11 14 17
48,lookahead_LG_2,SOLUTION_FOUND,True,True,6,9,10,5,4869,24,4 8 10 11 14 17
48,lookahead_L_3,FAILED_TO_FIND,False,False,6,12,18,0,43062,24,4 8 10 11 14 17
48,lookahead_LG_3,SOLUTION_FOUND,True,True,6,8,9,5,20930,24,4 8 10 11 14 17
49,greedy_L,SOLUTION_FOUND,True,True,6,0,6,0,185,18,1 2 5 11 13 14
49,greedy_LG,SOLUTION_FOUND,True,True,6,2,3,5,85,18,1 2 5 11 13 14
49,lookahead_L_2,SOLUTION_FOUND,True,True,6,12,18,0,9151,18,1 2 5 11 13 14
49,lookahead_LG_2,SOLUTION_FOUND,True,True,6,9,9,6,4186,18,1 2 5 11 13 14
49,lookahead_L_3,SOLUTION_FOUND,True,True,6,12,18,0,42432,18,1 2 5 11 13 14
49,lookahead_LG_3,SOLUTION_FOUND,True,True,6,10,11,5,24405,18,1 2 5 11 13 14
50,greedy_L,SOLUTION_FOUND,True,True,6,0,6,0,184,20,3 8 10 11 15 17
50,greedy_LG,SOLUTION_FOUND,True,True,6,2,3,5,84,20,3 8 10 11 15 17
50,lookahead_L_2,SOLUTION_FOUND,True,True,6,12,18,0,9149,20,3 8 10 11 15 17
50,lookahead_LG_2,SOLUTION_FOUND,True,True,6,9,10,5,4942,20,3 8 10 11 15 17
50,lookahead_L_3,SOLUTION_FOUND,True,True,6,12,18,0,42437,20,3 8 10 11 15 17
50,lookahead_LG_3,SOLUTION_FOUND,True,True,6,8,9,5,21279,20,3 8 10 11 15 17
51,greedy_L,SOLUTION_FOUND,True,True,5,0,5,0,158,13,3 5 7 13 14 16
51,greedy_LG,SOLUTION_FOUND,True,True,6,1,2,5,58,13,3 5 7 13 14 16
51,lookahead_L_2,SOLUTION_FOUND,True,True,5,13,18,0,9008,13,3 5 7 13 14 16
51,lookahead_LG_2,SOLUTION_FOUND,True,True,5,10,10,5,4882,13,3 5 7 13 14 16
51,lookahead_L_3,SOLUTION_FOUND,True,True,5,13,18,0,41611,13,3 5 7 13 14 16
51,lookahead_LG_3,SOLUTION_FOUND,True,True,5,9,10,4,19368,13,3 5 7 13 14 16
52,greedy_L,SOLUTION_FOUND,True,True,6,0,6,0,185,31,1 5 6 8 13 15
52,greedy_LG,FAILED_TO_FIND,False,False,7,7,7,6,138,31,1 5 6 8 13 15
52,lookahead_L_2,SOLUTION_FOUND,True,True,6,12,18,0,9151,31,1 5 6 8 13 15
52,lookahead_LG_2,SOLUTION_FOUND,True,True,6,9,10,5,4922,31,1 5 6 8 13 15
52,lookahead_L_3,SOLUTION_FOUND,True,True,6,12,18,0,42460,31,1 5 6 8 13 15
52,lookahead_LG_3,SOLUTION_FOUND,True,True,6,10,11,5,24799,31,1 5 6 8 13 15
53,greedy_L,SOLUTION_FOUND,True,True,6,0,6,0,184,24,6 8 11 14 15 16
53,greedy_LG,SOLUTION_FOUND,True,True,6,2,3,5,82,24,6 8 11 14 15 16
53,lookahead_L_2,SOLUTION_FOUND,True,True,6,12,18,0,9149,24,6 8 11 14 15 16
53,lookahead_LG_2,SOLUTION_FOUND,True,True,6,9,10,5,4646,24,6 8 11 14 15 16
53,lookahead_L_3,SOLUTION_FOUND,True,True,6,12,18,0,42445,24,6 8 11 14 15 16
53,lookahead_LG_3,SOLUTION_FOUND,True,True,6,8,8,6,18779,24,6 8 11 14 15 16
54,greedy_L,SOLUTION_FOUND,True,True,5,0,5,0,158,18,4 6 7 9 14 16
54,greedy_LG,FAILED_TO_FIND,False,False,7,7,7,6,138,18,4 6 7 9 14 16
54,lookahead_L_2,SOLUTION_FOUND,True,True,5,13,18,0,9014,18,4 6 7 9 14 16
54,lookahead_LG_2,SOLUTION_FOUND,True,True,5,10,11,4,5406,18,4 6 7 9 14 16
54,lookahead_L_3,SOLUTION_FOUND,True,True,5,13,18,0,42121,18,4 6 7 9 14 16
54,lookahead_LG_3,SOLUTION_FOUND,True,True,5,11,12,4,29788,18,4 6 7 9 14 16
55,greedy_L,SOLUTION_FOUND,True,True,6,0,6,0,184,18,1 2 4 6 11 15
55,greedy_LG,SOLUTION_FOUND,True,True,6,2,2,6,62,18,1 2 4 6 11 15
55,lookahead_L_2,SOLUTION_FOUND,True,True,6,12,18,0,8905,18,1 2 4 6 11 15
55,lookahead_LG_2,SOLUTION_FOUND,True,True,6,9,10,5,5522,18,1 2 4 6 11 15
55,lookahead_L_3,SOLUTION_FOUND,True,True,6,12,18,0,41995,18,1 2 4 6 11 15
55,lookahead_LG_3,SOLUTION_FOUND,True,True,6,10,11,5,30897,18,1 2 4 6 11 15
56,greedy_L,SOLUTION_FOUND,True,True,6,0,6,0,185,31,0 4 8 10 15 17
56,greedy_LG,FAILED_TO_FIND,False,False,7,5,5,6,112,31,0 4 8 10 15 17
56,lookahead_L_2,SOLUTION_FOUND,True,True,6,12,18,0,9151,31,0 4 8 10 15 17
56,lookahead_LG_2,SOLUTION_FOUND,True,True,6,3,4,5,3153,31,0 4 8 10 15 17
56,lookahead_L_3,SOLUTION_FOUND,True,True,6,12,18,0,42451,31,0 4 8 10 15 17
56,lookahead_LG_3,SOLUTION_FOUND,True,True,6,3,4,5,15851,31,0 4 8 10 15 17
57,greedy_L,SOLUTION_FOUND,True,True,6,0,6,0,184,21,0 1 3 5 8 11
57,greedy_LG,SOLUTION_FOUND,True,True,6,1,2,5,58,21,0 1 3 5 8 11
57,lookahead_L_2,SOLUTION_FOUND,True,True,6,12,18,0,9149,21,0 1 3 5 8 11
57,lookahead_LG_2,SOLUTION_FOUND,True,True,6,11,11,6,5744,21,0 1 3 5 8 11
57,lookahead_L_3,SOLUTION_FOUND,True,True,6,12,18,0,42454,21,0 1 3 5 8 11
57,lookahead_LG_3,SOLUTION_FOUND,True,True,6,9,10,5,27097,21,0 1 3 5 8 11
58,greedy_L,SOLUTION_FOUND,True,True,6,0,6,0,185,30,0 3 6 7 16 17
58,greedy_LG,FAILED_TO_FIND,False,False,7,8,8,6,150,30,0 3 6 7 16 17
58,lookahead_L_2,SOLUTION_FOUND,True,True,6,12,18,0,9151,30,0 3 6 7 16 17
58,lookahead_LG_2,SOLUTION_FOUND,True,True,6,9,9,6,4166,30,0 3 6 7 16 17
58,lookahead_L_3,SOLUTION_FOUND,True,True,6,12,18,0,42446,30,0 3 6 7 16 17
58,lookahead_LG_3,SOLUTION_FOUND,True,True,6,8,8,6,17731,30,0 3 6 7 16 17
59,greedy_L,SOLUTION_FOUND,True,True,6,0,6,0,185,19,0 2 4 7 14 16
59,greedy_LG,FAILED_TO_FIND,False,False,7,11,11,6,168,19,0 2 4 7 14 16
59,lookahead_L_2,SOLUTION_FOUND,True,True,6,12,18,0,9151,19,0 2 4 7 14 16
59,lookahead_LG_2,SOLUTION_FOUND,True,True,6,10,11,5,5048,19,0 2 4 7 14 16
59,lookahead_L_3,SOLUTION_FOUND,True,True,6,12,18,0,42436,19,0 2 4 7 14 16
59,lookahead_LG_3,SOLUTION_FOUND,True,True,6,9,10,5,26262,19,0 2 4 7 14 16
60,greedy_L,SOLUTION_FOUND,True,True,6,0,6,0,185,25,3 4 9 12 15 17
60,greedy_LG,FAILED_TO_FIND,False,False,7,6,6,6,126,25,3 4 9 12 15 17
60,lookahead_L_2,SOLUTION_FOUND,True,True,6,12,18,0,9151,25,3 4 9 12 15 17
60,lookahead_LG_2,SOLUTION_FOUND,True,True,6,9,10,5,4748,25,3 4 9 12 15 17
60,lookahead_L_3,SOLUTION_FOUND,True,True,6,12,18,0,42450,25,3 4 9 12 15 17
60,lookahead_LG_3,SOLUTION_FOUND,True,True,6,8,9,5,20930,25,3 4 9 12 15 17
61,greedy_L,SOLUTION_FOUND,True,True,5,0,5,0,159,22,4 5 6 12 15 16
61,greedy_LG,SOLUTION_FOUND,True,True,6,2,2,6,64,22,4 5 6 12 15 16
61,lookahead_L_2,SOLUTION_FOUND,True,True,5,13,18,0,9008,22,4 5 6 12 15 16
61,lookahead_LG_2,SOLUTION_FOUND,True,True,5,10,11,4,5548,22,4 5 6 12 15 16
61,lookahead_L_3,SOLUTION_FOUND,True,True,5,13,18,0,42109,22,4 5 6 12 15 16
61,lookahead_LG_3,SOLUTION_FOUND,True,True,6,11,13,4,31107,22,4 5 6 12 15 16
62,greedy_L,SOLUTION_FOUND,True,True,6,0,6,0,184,21,2 4 5 7 14 15
62,greedy_LG,FAILED_TO_FIND,False,False,7,7,7,6,140,21,2 4 5 7 14 15
62,lookahead_L_2,SOLUTION_FOUND,True,True,6,12,18,0,9149,21,2 4 5 7 14 15
62,lookahead_LG_2,SOLUTION_FOUND,True,True,6,9,10,5,4985,21,2 4 5 7 14 15
62,lookahead_L_3,SOLUTION_FOUND,True,True,6,12,18,0,42090,21,2 4 5 7 14 15
62,lookahead_LG_3,SOLUTION_FOUND,True,True,6,10,11,5,25984,21,2 4 5 7 14 15
63,greedy_L,SOLUTION_FOUND,True,True,5,0,5,0,159,27,4 7 9 14 16 17
63,greedy_LG,SOLUTION_FOUND,True,True,5,1,2,4,61,27,4 7 9 14 16 17
63,lookahead_L_2,SOLUTION_FOUND,True,True,5,13,18,0,9016,27,4 7 9 14 16 17
63,lookahead_LG_2,SOLUTION_FOUND,True,True,5,10,11,4,5280,27,4 7 9 14 16 17
63,lookahead_L_3,SOLUTION_FOUND,True,True,5,13,18,0,42126,27,4 7 9 14 16 17
63,lookahead_LG_3,SOLUTION_FOUND,True,True,5,9,9,5,21737,27,4 7 9 14 16 17
64,greedy_L,SOLUTION_FOUND,True,True,6,0,6,0,185,27,0 3 8 10 12 15
64,greedy_LG,FAILED_TO_FIND,False,False,7,7,7,6,138,27,0 3 8 10 12 15
64,lookahead_L_2,SOLUTION_FOUND,True,True,6,12,18,0,9151,27,0 3 8 10 12 15
64,lookahead_LG_2,SOLUTION_FOUND,True,True,6,9,10,5,4689,27,0 3 8 10 12 15
64,lookahead_L_3,SOLUTION_FOUND,True,True,6,12,18,0,42441,27,0 3 8 10 12 15
64,lookahead_LG_3,SOLUTION_FOUND,True,True,6,8,10,4,23702,27,0 3 8 10 12 15
65,greedy_L,SOLUTION_FOUND,True,True,5,0,5,0,158,17,3 8 9 13 16 17
65,greedy_LG,FAILED_TO_FIND,False,False,7,8,8,6,148,17,3 8 9 13 16 17
65,lookahead_L_2,SOLUTION_FOUND,True,True,5,13,18,0,9014,17,3 8 9 13 16 17
65,lookahead_LG_2,SOLUTION_FOUND,True,True,5,10,11,4,5564,17,3 8 9 13 16 17
65,lookahead_L_3,SOLUTION_FOUND,True,True,5,13,18,0,42122,17,3 8 9 13 16 17
65,lookahead_LG_3,SOLUTION_FOUND,True,True,5,11,12,4,29972,17,3 8 9 13 16 17
66,greedy_L,SOLUTION_FOUND,True,True,6,0,6,0,184,20,2 3 9 12 13 14
66,greedy_LG,SOLUTION_FOUND,True,True,6,2,2,6,64,20,2 3 9 12 13 14
66,lookahead_L_2,SOLUTION_FOUND,True,True,6,12,18,0,9147,20,2 3 9 12 13 14
66,lookahead_LG_2,SOLUTION_FOUND,True,True,6,10,11,5,5283,20,2 3 9 12 13 14
66,lookahead_L_3,SOLUTION_FOUND,True,True,6,12,18,0,42445,20,2 3 9 12 13 14
66,lookahead_LG_3,SOLUTION_FOUND,True,True,6,10,11,5,24273,20,2 3 9 12 13 14
67,greedy_L,SOLUTION_FOUND,True,True,6,0,6,0,185,21,2 3 4 6 7 13
67,greedy_LG,SOLUTION_FOUND,True,True,6,2,3,5,83,21,2 3 4 6 7 13
67,lookahead_L_2,SOLUTION_FOUND,True,True,6,12,18,0,9151,21,2 3 4 6 7 13
67,lookahead_LG_2,SOLUTION_FOUND,True,True,6,9,9,6,4312,21,2 3 4 6 7 13
67,lookahead_L_3,SOLUTION_FOUND,True,True,6,12,18,0,42438,21,2 3 4 6 7 13
67,lookahead_LG_3,SOLUTION_FOUND,True,True,6,8,8,6,18429,21,2 3 4 6 7 13
68,greedy_L,SOLUTION_FOUND,True,True,5,0,5,0,158,16,3 9 14 15 16 17
68,greedy_LG,SOLUTION_FOUND,True,True,5,1,2,4,60,16,3 9 14 15 16 17
68,lookahead_L_2,SOLUTION_FOUND,True,True,5,13,18,0,9014,16,3 9 14 15 16 17
68,lookahead_LG_2,SOLUTION_FOUND,True,True,5,10,10,5,4376,16,3 9 14 15 16 17
68,lookahead_L_3,SOLUTION_FOUND,True,True,5,13,18,0,42124,16,3 9 14 15 16 17
